,name,link,category,imgs,sellDate,price,size,source
0,RAISE A SUILEN×Morfonica「Mythology Chapter 2」 アクリルスタンド Morfonica,https://bang-dream.com/goods/3078,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/fb4dafac-ff32-47c9-88ac-b705effbefe2.jpg,2022年06月18日 (土),各1650円（税込）,本体:H128mm～W150×w72mm～104mm 台座:H63mm×W63mm ※メンバーによって異なります。,イベント商品 全5種
1,BanG Dream! ガールズバンドパーティ！ コインケース Morfonica /  BanG Dream! コインケース RAISE A SUILEN vol.2,https://bang-dream.com/goods/3086,生活雑貨,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/b29ebbae-3cff-450d-9e32-cfc0a153dbd6.jpg,2022年06月18日 (土),各3300円（税込）,本体サイズ:H70mm×W100mm ストラップサイズ:H20mm×W450mm,一般商品 全2種
2,RAISE A SUILEN×Morfonica「Mythology Chapter 2」 ラバーバンド,https://bang-dream.com/goods/3075,リストバンド,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/fa0b760a-ab5e-4f85-8034-503d9ce07545.jpg,2022年06月18日 (土),1100円（税込）,約H25mm×W210mm,イベント商品
3,BanG Dream! リフレクターバンド (RAISE A SUILEN),https://bang-dream.com/goods/3072,リストバンド,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/79be0505-eb4c-4648-9efb-7d1a463e86c4.jpg,2022年06月19日 (日),各1100円（税込）,約H30mm×W220mm,一般商品 全5種
4,RAISE A SUILEN LIVE 2022「OVERKILL」 アクリルスタンド,https://bang-dream.com/goods/3067,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/9be013c0-04de-49ea-b9f7-2d36db6f2963.jpg,2022年06月19日 (日),各1650円（税込）,本体:約H140mm～H150mm 台座:H40mm×W60mm,イベント商品 全5種
5,RAISE A SUILEN×Morfonica「Mythology Chapter 2」 Tシャツ,https://bang-dream.com/goods/3073,アパレル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/da38a292-859a-4bc5-93d2-7b42b4108ea4.jpg,2022年06月18日 (土),3850円（税込）,Mサイズ／Lサイズ／XLサイズ,イベント商品
6,BanG Dream! ガールズバンドパーティ！ トレーディング缶バッジ Twinkle Party! ver.（全14種）,https://bang-dream.com/goods/3109,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/5eb60a7d-112d-44d5-b597-fce53f9ce626.jpg,2022年09月02日 (金),550円(税込),,イベント商品、全14種
7,BanG Dream! ガールズバンドパーティ! バンドモチーフリング Special Edition Morfonica,https://bang-dream.com/goods/3174,その他,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/78ff9aa9-5f94-4ab0-96d3-f602a98ceaa6.jpg,,各11000円（税込）,7号 / 9号 / 11号 / 13号 / 15号 / 17号 / 19号 / 21号,全5種
8,BanG Dream! 10th☆LIVE DAY1:Roselia「Sonnenschein」 トレーディング缶バッジ,https://bang-dream.com/goods/3142,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/f0bd70b8-ceae-4072-a909-9f92ef5c6d77.jpg,2022年09月22日 (木),550円（税込）,直径約54mm,イベント商品 全10種
9,バンドリ！ ガールズバンドパーティ！ トレーディングブロマイド＆カバーセット vol.2,https://bang-dream.com/goods/3125,ブロマイド・ステッカー・シール,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/ffca3268-4063-4350-ab37-4bfb195b97cb.jpg,2022年10月15日 (土),660円(税込),ブロマイド：L判サイズ　カバー：約W88 ×H126mm,イベント商品，全20種
10,RAISE A SUILEN LIVE 2022「OVERKILL」 Tシャツ,https://bang-dream.com/goods/3063,アパレル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/1c540c53-5ca0-4648-9784-9faf0baeec98.jpg,2022年06月19日 (日),3850円（税込）,Mサイズ／Lサイズ／XLサイズ,イベント商品
11,バンドリ！ ガールズバンドパーティ！ トレーディングブロマイド＆カバーセット vol.1,https://bang-dream.com/goods/3124,ブロマイド・ステッカー・シール,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/1a35babb-1483-43e2-9714-eb53e0109b45.jpg,2022年10月15日 (土),660円(税込),ブロマイド：L判サイズ　カバー：約W88 ×H126mm,イベント商品，全15種
12,MyGO!!!!! 3rd LIVE「声を抱えて生きる」 記念アクリルキーホルダー,https://bang-dream.com/goods/3219,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/d9a58e67-ab99-4374-8cf7-db069a1bb4d6.jpg,2022年11月26日 (土),1100円（税込）,約W85×H50mm,イベント商品
13,BanG Dream! 10th☆LIVE DAY3:Poppin'Party「Hoppin’☆Poppin’☆Dreamin’!!」 トレーディング缶バッジ,https://bang-dream.com/goods/3150,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/7b01201c-0d0e-4b04-9072-4cf296a71b03.jpg,2022年09月24日 (土),550円（税込）,直径約54mm,イベント商品 全10種
14,BanG Dream! 10th☆LIVE 記念色紙,https://bang-dream.com/goods/3136,生活雑貨,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/44d052a7-63ff-4300-87fc-eccf76fdef68.jpg,2022年09月22日 (木),各1650円（税込）,約W242×H273mm,イベント商品 全4種
15,BanG Dream! 10th☆LIVE 法被 RAISE A SUILEN,https://bang-dream.com/goods/3162,アパレル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/5db3eb1f-b1e9-4a93-8269-5d77f00a3b4b.jpg,2022年09月25日 (日),各11000円（税込）,,イベント商品 全5種
16,BanG Dream! 11th☆LIVE DAY2:Roselia×Morfonica「星空の夜想曲」 キャストコメントカスタムパーツ,https://bang-dream.com/goods/3282,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/f9f52d6a-15eb-4d2b-9cd0-49a29ab0176c.jpg,2023年02月05日 (日),各660円（税込）,約W60×H50mm以内,イベント商品 全10種
17,BanG Dream! Special☆LIVE Girls Band Party! 2020→2022 トレーディング缶バッジ Morfonica,https://bang-dream.com/goods/3198,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/68d9a625-8543-4010-86db-82e5225292f4.jpg,2022年11月12日 (土),501円（税込）,直径：約54mm,イベント商品 全5種
18,MyGO!!!!! 2nd LIVE「そのままを抱きしめて」 Tシャツ,https://bang-dream.com/goods/3163,アパレル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/52f9cfac-1784-4c88-b714-193694af1ffc.jpg,2022年09月10日 (土),3850円（税込）,Mサイズ／Lサイズ／XLサイズ,イベント商品
19,BanG Dream! ガールズバンドパーティ！ トレーディングホログラム缶バッジ2023ver. vol.1,https://bang-dream.com/goods/3323,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/8245b13a-dc01-448a-91e2-b32befe569ba.jpg,2023年03月18日 (土),550円（税込）,直径：約56mm,一般商品 全15種
20,BanG Dream! 11th☆LIVE DAY1:Poppin'Party×RAISE A SUILEN「GALAXY to GALAXY」 ラバーバンド,https://bang-dream.com/goods/3263,リストバンド,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/102b4640-b8ef-4cce-9bf7-067658eb8114.jpg,2023年02月04日 (土),1100円（税込）,約W210×H32.5mm,イベント商品
21,BanG Dream! 10th☆LIVE DAY2:Morfonica「Reverberation」 応援うちわ,https://bang-dream.com/goods/3148,生活雑貨,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/6d8a6d80-0cdf-458f-8b28-4ec72e81df90.jpg,2022年09月23日 (金),各1100円（税込）,約W290 ×H420mm（内取手：約20×H135mm）,イベント商品 全5種
22,バンドリ！ ガールズバンドパーティ！ B2タペストリー vol.1 RAISE A SUILEN,https://bang-dream.com/goods/3256,タペストリー・ポスター類,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/56d8e564-fd8b-43a0-8857-5c4e3e9fbe7c.jpg,2023年01月09日 (月),3850円（税込）,B2サイズ,イベント商品 全5種
23,バンドリ！ガールズバンドパーティ！ きらりんアクリルスタンド 2022 Winter ver.,https://bang-dream.com/goods/3242,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/6bceb006-ce29-45b7-bde5-e91c81e0c7a2.jpg,2022年12月17日 (土),各1650円,約W90×H150mm,イベント商品 全7種
24,Roselia「Farbe」 タオル,https://bang-dream.com/goods/3493,タオル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/abf42a28-5590-4ad6-bf18-d52c2fc86c08.jpg,2023年09月16日 (土),2420円（税込）,約W830×H340mm,イベント商品
25,BanG Dream! ガールズバンドパーティ！ トレーディングロング缶バッジ vol.3,https://bang-dream.com/goods/3385,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/aaa7bf3d-84fa-4552-b280-5f67386fa18d.jpg,2023年07月01日 (土),660円（税込）,約W45×H120mm,一般商品 全35種
26,バンドリ！ ガールズバンドパーティ！ クリアファイル イントロダクション,https://bang-dream.com/goods/3209,文具,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/4932e292-f035-47ac-83ab-e07c8fd4e887.jpg,2022年11月12日 (土),550円（税込）,A4サイズ対応,イベント商品
27,BanG Dream! 10th☆LIVE DAY1:Roselia「Sonnenschein」 応援うちわ,https://bang-dream.com/goods/3144,生活雑貨,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/c0396c04-4253-4cac-aaa9-e809e038ba11.jpg,2022年09月22日 (木),各1100円（税込）,約W290 ×H420mm（内取手：約20×H135mm）,イベント商品 全5種
28,BanG Dream! 11th☆LIVE DAY2:Roselia×Morfonica「星空の夜想曲」 記念キーホルダー,https://bang-dream.com/goods/3279,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/7c528984-cd3b-4756-8353-81b5bc4165c8.jpg,2023年02月05日 (日),1650円（税込）,ステンドグラス部分：約W55×H55mm　リボン部分：約W90×H17mm,イベント商品
29,MyGO!!!!! 3rd LIVE「声を抱えて生きる」 タオル,https://bang-dream.com/goods/3217,タオル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/f03e9e01-e5c2-4dde-94dc-0d35e6226213.jpg,2022年11月26日 (土),2200円（税込）,約W850×H330mm,イベント商品
30,BanG Dream! 10th☆LIVE DAY3:Poppin'Party「Hoppin’☆Poppin’☆Dreamin’!!」 応援うちわ,https://bang-dream.com/goods/3152,生活雑貨,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/200209ce-c393-4d6b-a467-bae4cb5eb6bd.jpg,2022年09月24日 (土),各1100円（税込）,約W290 ×H420mm（内取手：約20×H135mm）,イベント商品 全5種
31,バンドリ！ ガールズバンドパーティ！ アクリルキーホルダー 2023 Summer ver.,https://bang-dream.com/goods/3382,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/e2364b5a-0778-414a-8712-9696af1bbfc8.jpg,2023年07月01日 (土),各880円,約W70×H70mm以内,イベント商品 全7種
32,MyGO!!!!! 4th LIVE「前へ進む音の中で」 記念キーホルダー,https://bang-dream.com/goods/3300,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/54fbccf1-e247-4e27-a137-bb322bf87d95.jpg,2023年04月09日 (日),1100円（税込）,約W44×H76mm,イベント商品 全1種
33,BanG Dream! 11th☆LIVE DAY2:Roselia×Morfonica「星空の夜想曲」 箔押しクリアファイル,https://bang-dream.com/goods/3284,文具,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/1d046e77-927b-40d7-8239-883a04af4226.jpg,2023年02月05日 (日),770円（税込）,A4サイズ対応,イベント商品
34,バンドリ！ ガールズバンドパーティ！ アクリルスタンド 2023ver. Roselia,https://bang-dream.com/goods/3328,アクリルスタンド・ジオラマ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/e6a2b8e4-bdb7-433d-9d1d-ec7c095bb7f2.jpg,2023年03月18日 (土),各1650円（税込）,約W50×H120mm,一般商品 全5種
35,RAISE A SUILEN LIVE 2023「EXCLAMATION HIGHLAND」 フード付きタオル,https://bang-dream.com/goods/3352,タオル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/15b0cd69-b28b-425c-9e24-46e98a674dd9.jpg,2023年05月28日 (日),各4400円（税込）,タオル：約W1200×H750mm フード：約W600×H330mm,イベント商品 全5種
36,BanG Dream! ガールズバンドパーティ! バンドモチーフリング Special Edition Roselia,https://bang-dream.com/goods/3172,その他,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/1c3b747b-b9dc-4a60-b98a-2327cb275c5c.jpg,,各11000円（税込）,7号 / 9号 / 11号 / 13号 / 15号 / 17号 / 19号 / 21号,全5種
37,BanG Dream! 11th☆LIVE DAY2:Roselia×Morfonica「星空の夜想曲」 メンバーキーホルダー（Morfonica）,https://bang-dream.com/goods/3285,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/1265c20c-d305-4790-8a21-40a008f1647e.jpg,2023年02月05日 (日),各1650円（税込）,約W20×H97mm以内,イベント商品 全5種
38,バンドリ！ ガールズバンドパーティ！ クリアファイル Letter ver.,https://bang-dream.com/goods/3309,文具,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/c635afda-f208-4119-ba50-4b593f924102.jpg,2023年04月01日 (土),550円（税込）,A4サイズ対応,全1種
39,BanG Dream! ガールズバンドパーティ！ トレーディング缶バッジ WEGOver. vol.5,https://bang-dream.com/goods/3237,缶バッジ・ピンズ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/b0ccbbb2-50f8-4e8d-b989-56e5de26fe70.jpg,,550円,直径：約54mm,全12種（トレーディング商品）
40,RAISE A SUILEN LIVE 2023「EXCLAMATION HIGHLAND」 タオル,https://bang-dream.com/goods/3347,タオル,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/dd2ea6de-14fd-421c-aa76-430c03a50464.jpg,2023年05月28日 (日),2310円（税込）,約W850×H330mm,イベント商品
41,バンドリ！ ガールズバンドパーティ！ キャラリウムアクリルキーホルダー Brand new Pastel Road！,https://bang-dream.com/goods/3210,キーホルダー・ストラップ,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/093fc69f-dd08-4f11-a429-190134b75212.jpg,2022年11月12日 (土),880円（税込）,約W80×H60mm,イベント商品 全10種
42,バンドリ！ ガールズバンドパーティ！ ブロマイドケース,https://bang-dream.com/goods/3313,ブロマイド・ステッカー・シール,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/a80ebc00-e121-41af-bb5d-6cd75bf65148.jpg,2023年04月01日 (土),2200円（税込）,約H198×W157×幅15mm (L版80枚収納可能),全1種
