,title,date,url
0,海贼王 狂热行动,2019-08-09,https://bangumi.tv/subject/258349
1,天气之子,2019-07-19,https://bangumi.tv/subject/269235
2,某科学的一方通行,2019-07-12,https://bangumi.tv/subject/262939
3,期待在地下城邂逅有错吗Ⅱ,2019-07-12,https://bangumi.tv/subject/238004
4,擅长捉弄的高木同学 第二季,2019-07-07,https://bangumi.tv/subject/271151
5,少女☆寸剧 All Starlight,2019-07-05,https://bangumi.tv/subject/279541
6,肌肉少女：哑铃，能举多少公斤？,2019-07-03,https://bangumi.tv/subject/271724
7,你遭难了吗？,2019-07-02,https://bangumi.tv/subject/276187
8,青春期笨蛋不做怀梦少女的梦,2019-06-15,https://bangumi.tv/subject/260680
9,甲铁城的卡巴内利～海门决战～,2019-05-10,https://bangumi.tv/subject/202270
10,进击的巨人 第三季 Part.2,2019-04-28,https://bangumi.tv/subject/263750
11,异世界四重奏,2019-04-09,https://bangumi.tv/subject/262865
12,为什么老师会在这里！？,2019-04-07,https://bangumi.tv/subject/262111
13,鬼灭之刃,2019-04-06,https://bangumi.tv/subject/245665
14,我们真的学不来,2019-04-06,https://bangumi.tv/subject/257369
15,川柳少女,2019-04-05,https://bangumi.tv/subject/268510
16,期待在地下城邂逅有错吗 俄里翁之矢,2019-02-15,https://bangumi.tv/subject/238005
17,幼女战记 剧场版,2019-02-08,https://bangumi.tv/subject/234771
18,辉夜大小姐想让我告白～天才们的恋爱头脑战～,2019-01-12,https://bangumi.tv/subject/248175
19,Fate/stay night [Heaven's Feel] II.lost butterfly,2019-01-12,https://bangumi.tv/subject/175599
20,约会大作战 第三季,2019-01-11,https://bangumi.tv/subject/228254
21,家有女友,2019-01-11,https://bangumi.tv/subject/253628
22,五等分的新娘,2019-01-10,https://bangumi.tv/subject/256114
23,BanG Dream! 第二季,2019-01-03,https://bangumi.tv/subject/246429
24,哥布林杀手,2018-10-06,https://bangumi.tv/subject/238006
25,刀剑神域 Alicization篇,2018-10-06,https://bangumi.tv/subject/225604
26,SSSS.古立特,2018-10-06,https://bangumi.tv/subject/218712
27,Re：从零开始的异世界生活 Memory Snow,2018-10-06,https://bangumi.tv/subject/225462
28,魔法禁书目录 第三季,2018-10-05,https://bangumi.tv/subject/226540
