,番名,链接,评分,放送日期,id,追番人数,播放量,硬币数,弹幕数
0,工作细胞,https://www.bilibili.com/bangumi/play/ss24588,9.6,2018-07-07 16:00:00,24588,6244298,153372629,685209,3740695
1,欢迎来到实力至上主义的教室,https://www.bilibili.com/bangumi/play/ss6339,8.6,2017-07-12 16:00:00,6339,5213104,144384824,397566,3607645
2,鬼灭之刃,https://www.bilibili.com/bangumi/play/ss26801,9.8,2019-04-06 16:00:00,26801,5006759,227390760,1174018,3608071
3,小林家的龙女仆,https://www.bilibili.com/bangumi/play/ss5800,9.5,2017-01-10 16:00:00,5800,4925284,177887816,463237,4529108
4,埃罗芒阿老师,https://www.bilibili.com/bangumi/play/ss5997,9.0,2017-04-08 16:00:00,5997,4915450,127336064,558365,6801874
5,关于我转生变成史莱姆这档事,https://www.bilibili.com/bangumi/play/ss25739,9.4,2018-10-01 16:00:00,25739,4888055,203930799,1153853,3178922
6,紫罗兰永恒花园,https://www.bilibili.com/bangumi/play/ss21542,9.7,2018-01-10 16:00:00,21542,4559080,70405678,777019,2283633
7,Re：从零开始的异世界生活,https://www.bilibili.com/bangumi/play/ss3461,9.1,2016-04-03 16:00:00,3461,4465514,178670262,752056,10403440
8,辉夜大小姐想让我告白~天才们的恋爱头脑战~,https://www.bilibili.com/bangumi/play/ss26274,9.8,2019-01-12 16:00:00,26274,4325433,121929420,1007482,2807708
9,在下坂本，有何贵干？,https://www.bilibili.com/bangumi/play/ss3450,9.0,2016-04-07 16:00:00,3450,4275145,158139961,529319,2646555
10,OVERLORD Ⅲ,https://www.bilibili.com/bangumi/play/ss24596,9.3,2018-07-09 16:00:00,24596,3982561,192772165,807695,2794005
11,青春猪头少年不会梦到兔女郎学姐,https://www.bilibili.com/bangumi/play/ss25733,9.8,2018-10-03 16:00:00,25733,3952031,89405555,1009295,2046981
12,刀剑神域 Alicization,https://www.bilibili.com/bangumi/play/ss25510,8.3,2018-10-06 16:00:00,25510,3934651,123448747,921635,2482111
13,OVERLORDⅡ,https://www.bilibili.com/bangumi/play/ss21466,9.6,2018-01-08 16:00:00,21466,3898250,187691208,623303,2874560
14,干物妹！小埋R,https://www.bilibili.com/bangumi/play/ss6446,9.4,2017-10-07 16:00:00,6446,3843716,99162001,443061,3147747
15,Angels of Death,https://www.bilibili.com/bangumi/play/ss24625,9.6,2018-07-05 16:00:00,24625,3768381,85796351,473793,2660191
16,徒然喜欢你,https://www.bilibili.com/bangumi/play/ss6312,9.6,2017-07-03 16:00:00,6312,3473056,79157599,415864,2100370
17,多罗罗,https://www.bilibili.com/bangumi/play/ss26146,9.4,2019-01-05 16:00:00,26146,3450094,128990770,560689,965578
18,Fate/Apocrypha,https://www.bilibili.com/bangumi/play/ss6301,5.5,2017-07-01 16:00:00,6301,3395395,113830270,242756,3191012
