,title,url,description
0,Zoom In Circle Effect for Radio Button,https://codemyui.com/zoom-in-circle-effect-for-radio-button/,Need some fancy micro-interaction for your radio buttons on your next project? Have a look at this CSS only sweet zoom in circle effect when you select the radio...
1,Smooth sliding Card UI radio button microinteraction,https://codemyui.com/smooth-sliding-card-ui-radio-button-microinteraction/,This is a smooth micro-interaction for radio buttons where the section slides across between the different options. It has a card UI look and feel to it and was...
2,Switching Radio Button Interaction Animation,https://codemyui.com/switching-radio-button-interaction-animation/,Have a look at this really cool switching micro-interaction animation for radio buttons designed by Dronca Raul. The active and non-active radio buttons swap when you click on them.
3,Roman Numeral Themed Pagination that shows text alternative on click,https://codemyui.com/roman-numeral-themed-pagination-that-shows-text-alternative-on-click/,Here is one fancy pagination snippet created using radio button by Michael Sveistrup. The different pages are shown as Roman numerals I II III IV V etc and on...
4,15 Amazing Free UI/UX Kits,https://codemyui.com/15-amazing-free-ui-ux-kits/,The CodeMyUI team has put together a list of 15 Free UI/UX kits that we think will not only inspire you as you deliver world-class solutions for yourself and...
5,"Dynamic First, Previous, Next, Last Responsive Pagination Snippet",https://codemyui.com/dynamic-first-previous-next-last-responsive-pagination-snippet/,"With this pagination snippet using an unordered list, you get a responsive design in pure CSS and flexbox. It was designed by William H. The pagination section shows pages..."
6,Snack Pellets Eating Pac-Man Themes CSS Pagination Design,https://codemyui.com/snack-pellets-eating-pac-man-themes-css-pagination-design/,"Here is a cool retro effect for your pagination section, this CSS only Pac-Man video game inspired design was created by Paraskevas Dinakis using radio buttons. Each page is..."
7,Two-sided magazine layout with a flat page flip animation,https://codemyui.com/two-sided-magazine-layout-with-a-flat-page-flip-animation/,"In this book flip animation, we have a 2 column magazine-style layout, there is a menu you can use to jump between pages.  The flip animation is very flat..."
8,Black Friday Special Deal Badge using SVG,https://codemyui.com/black-friday-special-deal-badge-using-svg/,"Here is a nice little badge you can add to your eCommerce or product pages when you have a sale eg: a special deal for Black Friday, etc. This..."
9,Attention-grabbing marquee text on a button,https://codemyui.com/attention-grabbing-marquee-text-on-a-button/,"This is a button that I came across on wickret.cuberto.com and thought there might be some landing pages where you want the visitors to notice the CTA button, it’s..."
10,Cold to Hot review rating widget with slider,https://codemyui.com/cold-to-hot-review-rating-widget-with-slider/,This is a range slider that can be used for reviews on webpages. You can click on one of the 5 ratings or use the slider to slide it...
11,Auto vertical scrolling 3 testimonial cards with one active and 2 inactive cards,https://codemyui.com/auto-vertical-scrolling-3-testimonial-cards-with-one-active-and-2-inactive-cards/,This is a nice testimonial or quote block what can be used on your website. It has a card UI layout and was designed by Danil Goncharenko. There are...
12,Flashlight Mouse Pointer,https://codemyui.com/flashlight-mouse-pointer/,In this snippet by Tommy Hodgins we can see the effect where the entire page is behind a fog of war like effect and is barely visible. When you...
13,CTA button where the mouse cursor always points to it,https://codemyui.com/cta-button-where-the-mouse-cursor-always-points-to-it/,Want to have a CTA button on a page where you want to align the cursor to always point to the button? Then this snippet by Aaron Iker is...
14,Comic book inspired dotted background text with a dark shadow background,https://codemyui.com/comic-book-inspired-dotted-background-text-with-a-dark-shadow-background/,Comic books have a unique style when it comes to text and with this SVG snippet by Gabriele Corti. You can add a really retro comic book inspired dotted...
15,"Hiding, retreating, breaking, swaying, blinking, tumbling text animation",https://codemyui.com/hiding-retreating-breaking-swaying-blinking-tumbling-text-animation/,Here are a bunch of text animation that tries to imitate these actions. These animations were created by Ryan Mulligan using Splitting.js
16,Search Icon to Search Box Animation,https://codemyui.com/search-icon-search-box-animation/,When you click on the search icon it expands to a search box. It was designed by Alex Tkachov.
17,"SweetAlert2 – pretty replacement for the standard alert, confirm, prompt dialogue",https://codemyui.com/sweetalert2-pretty-replacement-for-the-standard-alert-confirm-prompt-dialogue/,"SweetAlert is a JavaScript library that provides a replacement for the standard alert(), confirm() and prompt() javascript popup boxes that allow various styling and customization options."
18,Shimmering Neon Text,https://codemyui.com/shimmering-neon-text/,If you need to add some neon effect to your text then this snippet by Giana is just what you need. This effect can be achieved using pure CSS.
19,Animated Pricing Cards with Neon Buttons,https://codemyui.com/animated-pricing-cards-neon-buttons/,An impressive pricing table with neon buttons that has some subtle animation on hover designed by Jamie Coulter. The pricing table has an image section that does a horizontal...
20,8-Bit Social Icons and Buttons,https://codemyui.com/8-bit-social-icons-and-buttons/,"Want you buttons and social media icons to have an 8-bit effect o hover, check out this handy tutorial and code snippet from Tiffany Stoik"
21,Water Ripple Effect for Images,https://codemyui.com/water-ripple-effect-images/,"This is a fancy effect designed by Sean Free, it gives a subtle water ripple effect that you can add to your static images."
22,Full Screen Form,https://codemyui.com/full-screen-form/,A simple full screen form that you can use in your next web project. 
23,Fullscreen Hero Section Parallax Slider,https://codemyui.com/fullscreen-hero-section-parallax-slider/,Here you have a full width and full high image with a header style text on top of it. When you scroll down you will see that the image...
24,PhotoSwipe JavaScript Image Gallery Plugin,https://codemyui.com/photoswipe-javascript-image-gallery-plugin/,PhotoSwipe is a JavaScript Image Gallery Plugin with no dependencies that works on mobile an desktop devices. It supports a lot of awesome features including touch gestures. 
25,Image Grid with KenBurns and Description on Hover,https://codemyui.com/image-grid-kenburns-description-hover/,"This Pure CSS image gallery was designed by Giana, it offers direction aware hover effect by bringing up the description associated with each image and a ken burns effect..."
26,Vertical Split Image Slideshow,https://codemyui.com/vertical-split-image-slideshow/,This is a fancy little slideshow where the image splits into two vertically. The left side moves down and the right side moves up. It was designed by Fabio...
27,2 Column Split Screen Image Gallery With Description Box,https://codemyui.com/2-column-split-screen-image-gallery-description-box/,A 2 column split screen image and cation gallery designed by Eduardo Bouças. When you scroll each section loads a new content side by side.
28,Tabs that expands and changes color,https://codemyui.com/tabs-that-expands-and-changes-color/,This is a neat way to use tabs for your content. It changes colors and height based on the content. Designed by Lewi Hussey.
29,Card Menu Animation,https://codemyui.com/card-menu-animation/,Use this code snippet to add fullscreen tab animation to your website. Designed by Bennett Feely.
30,Accordion Tab Navigation Menu and Hero Section Slider,https://codemyui.com/accordion-tab-navigation-menu-hero-section-slider/,"This is a neat navigation menu that looks like an accordion tabs and has a slider like animation for the tabs, it will look great for the hero section..."
31,Rainbow Gradients Colour Effect in Web Design,https://codemyui.com/rainbow-gradients-colour-effect-web-design/,"This is a rainbow gradient colour effect that can be applied to hero section, navigation sections, buttons and more. The colour transition moved from the top left to the..."
32,A bunch of really fancy CSS hover effects,https://codemyui.com/bunch-really-fancy-css-hover-effects/,Renan C. Araujo has come up with some truly epic CSS hover effects that you all will enjoy. Each word has an animation that is closely related to it...
33,Animated Image Collapsing Slideshow Transition using SVG,https://codemyui.com/animated-image-collapsing-slideshow-transition-using-svg/,"In this animated transition for image slider by the awesome folks at Codrops, we have six different fullscreen styles to choose from. This snippet using SVG and these two..."
34,3D Direction Aware Image Slider,https://codemyui.com/3d-direction-aware-image-slider/,Want a really slick 3D image slider with some really impressive direction-aware hover effect? Have a look at this snippet designed by Alex Nozdriukhin.
35,Animated Unsubscribe Modal with Sad and Happy Face,https://codemyui.com/animated-unsubscribe-modal-sad-happy-face/,"I love subtle animations on websites and if you remember we had an awesome owl and yeti login page recently, this particular design comes from Agathe. There is an..."
36,Horror Movie Like Glitch Effect,https://codemyui.com/horror-movie-like-glitch-effect/,"We have another glitch effect for you all, this one adds a horror movie like effect for your images. It was designed by takashi."
37,Signup form validation as the user types,https://codemyui.com/signup-form-validation-as-the-user-types/,Stelios Constantinides wanted a good signup form where the form does some smart validation as the user types in and since he could not find one that works as he...
38,Scrollable and static 3d grid,https://codemyui.com/scrollable-static-3d-grid/,Want to showcase your portfolio in a cool 3d grid then you will love this scrollable and static isometric grid layout designed by Codrops.
39,3D Card Flip With Hovering Text,https://codemyui.com/3d-card-flip-hovering-text/,"I am loving this hover effect by Tyrell Rummage, you have a bunch of cards with images in the background and a hovering text that acts as the title..."
40,Ecommerce Grid to Full Screen Product on Click,https://codemyui.com/ecommerce-grid-full-screen-product-click/,This is a fancy e-commerce grid layout designed by Filip Slováček and coded by Mary Lou. When you click on a product it scales up and fills up the...
41,Elite Dangerous Loader in Pure CSS,https://codemyui.com/elite-dangerous-loader-pure-css/,Looking to add a preloader to your website this Elite Dangerous game inspired loader might be just what you are looking for. It was designed by James Panter. It...
42,Looking Through a Dirty Window Image Effect,https://codemyui.com/looking-dirty-window-image-effect/,This Ken Burns image effect of looking through a dirty glass was inspired by the opening credits of The Walking Dead. Thanks to this CSS snippet designed by Chris...
43,Image Slider with Morphing Sections,https://codemyui.com/image-slider-morphing-sections/,If you want to show a bunch of images in a slider that rotates through each one of them with morphing sections then this snippet by Arsen Zbidniakov will...
44,Card UI Team Grid in Pure CSS,https://codemyui.com/card-ui-team-grid-in-pure-css/,This snippet lets you create a simple team page with a card ui layout. This will be a great fit for any material design inspired site looking to create...
45,AMY Slider – jQuery Image Gallery Plugin,https://codemyui.com/amy-slider-jquery-image-gallery-plugin/,AMY slider is a premium jQuery image gallery plugin. It is extremely flexible in terms of adjustments and easy to work with. It comes with 9 different tile styles...
46,Select Field as a Popup Selector,https://codemyui.com/select-field-as-a-popup-selector/,A jQuery plugin to replace the traditional <select> box with a sleek Popover with options pre-populated. Designed by Jay Kanakiya.
47,Remodal – Modal Window Plugin,https://codemyui.com/remodal-modal-window-plugin/,"Responsive, lightweight, fast, synchronized with CSS animations, fully customizable modal window plugin with declarative configuration and hash tracking. Designed by VodkaBears"
48,360 Panorama Video Embed,https://codemyui.com/360-panorama-video-embed/,Do you have a 360 panorama video you have recently taken on your smartphone or camera and do you want to showcase that on your webpage? You are in...
49,Minimalist Cafe Menu Design,https://codemyui.com/minimalist-cafe-menu-design/,"You can use this CSS only responsive cafe menu design by Elliott Quinn to show the menu and some other details like opening hours, location, etc"
50,Shooting Star Background in Pure CSS,https://codemyui.com/shooting-star-background-in-pure-css/,If you want to add a hero section with some fancy looking shooting stars in the background this snippet by Yusuke Nakaya is just what you need.
51,Awesome Box Shadow Effect for Card UI,https://codemyui.com/awesome-box-shadow-effect-for-card-ui/,"Check out this simple but effective CSS snippet of using 2 box-shadow, the second one with a bigger blur and opacity. Works well on card UI elements."
52,Diagonal Before After Image Slider,https://codemyui.com/diagonal-before-after-image-slider/,"We have seen various before after image sliders, this new one was designed by Brett McCaffray. When you move the mouse pointer the slider moves as well revealing more..."
53,Load Multiple Videos from an Unordered List,https://codemyui.com/load-multiple-videos-from-an-unordered-list/,With this snippet designed by Corey Roth you have an unordered list on the right and a video on the left. When you click on each item in the...
54,Hand-drawn underline effect for links,https://codemyui.com/hand-drawn-underline-effect-for-links/,Remember how you used to mark important bits of text in books or notes by drawing underlines in them? Now you can create that same effect for text or...
55,Call Button With Ring Effect on Hover,https://codemyui.com/call-button-with-ring-effect-on-hover/,Here are 2 icons a landline and a mobile icon that doubles up as call buttons. When you hover over these it vibrates and a music notes emoji flies...
56,CSS Only Flaming Button,https://codemyui.com/css-only-flaming-button/,Here is a fancy CSS only button designed by Yusuke Nakaya. When you hover over the button you have a burning effect over the button. This can work well...
57,Google Thanos Disintegration Snippet,https://codemyui.com/google-thanos-disintegration-snippet/,"Check out the simple script that will help you recreate the Google Thanos particle disintegration effect with a little bit of CSS and html2canvas.js, it was created by Johan..."
58,Flip an omelette Loading Animation from Faasos,https://codemyui.com/flip-an-omelette-loading-animation-from-faasos/,In this CSS only deconstruction of the loading animation from Faasos we have an omelette getting flipped over and over. This deconstruction was created by Madhusudhan Dollu. This will...
59,Apple TV Style Parallax Button for Websites,https://codemyui.com/apple-tv-style-parallax-button-for-websites/,Check out this minimal direction aware button that you might have noticed on an Apple TV. This deconstruction of the button was designed by Filip Danisko.
60,iOS Invisible Ink on Websites,https://codemyui.com/ios-invisible-ink-on-websites/,In iOS 10 Apple included the Invisible Ink feature which allows people to send obfuscated messages to and from iPhone and iPads. With this snippet by Darryl Huffman you...
61,Rainbow Shadow Radiating Text Effect Animation,https://codemyui.com/rainbow-shadow-radiating-text-effect-animation/,With this CSS only snippet by Caree Youngman you have a fancy shadow effect to your text. You can have multiple colours cycling through the shadow of the text...
62,Like Button With Zoom Out Heart Animation,https://codemyui.com/like-button-with-zoom-out-heart-animation/,A simple like button for your webpage designed by Emil Andersson. When you click on it there is a nice zoom out heart animation that goes into the heart...
63,Image Particle Animation Effect,https://codemyui.com/image-particle-animation-effect/,This is an awesome particle effect animation that can be applied to images. This snippet is by Yoichi Kobayashi using three.js and also has direct aware hover effects. The...
64,Vertical Column Image Expanding on Hover Animation,https://codemyui.com/vertical-column-image-expanding-on-hover-animation/,Check out 4 different image gallery hover animation effect using Swiper.js by Khanh. In the 1st vertical accordion like gallery when you hover over the image has a smooth...
65,Creepy Squiggly Text Effect with SVG,https://codemyui.com/creepy-squiggly-text-effect-with-svg/,"Check out this eerie glitch text effect by Lucas Bebber. If you have a horror inspired page or you need something for halloween, then this SVG snippet will be..."
66,In your Face CTA Buttons,https://codemyui.com/in-your-face-cta-buttons/,Want to have a CTA button that is really in your face on one of your comical sites? Check out this bunch of pure CSS button animations by Olivia...
67,3D Book Cover Showcase,https://codemyui.com/3d-book-cover-showcase/,"Checkout this fancy snippet by Anya Melnyk, it will be great when you want to showcase your book cover on your website. On hover it tilts the book cover..."
68,Hover to lift Fog of War and Reveal Gallery Images,https://codemyui.com/hover-to-lift-fog-of-war-and-reveal-gallery-images/,"Do you want o hide your image gallery and only reveal the images on hover? This is the perfect snippet for you, it lifts the dark background to reveal..."
69,Search Logo to Search Field Animation,https://codemyui.com/search-logo-to-search-field-animation/,"Pull-Out search bar concept for modern websites, when you click on the search icon it expands to form a search text field. This pure CSS snippet was designed by..."
70,Email Subscription Modal,https://codemyui.com/email-subscription-modal/,A simple colourful email subscription modal that will work great on any website. It was designed by Chouaib Blgn.
71,Title hide behind featured image on scroll,https://codemyui.com/title-hide-behind-featured-image-on-scroll/,If you have a blog post and want to add some flare to the featured image and the title then this little snippet by Mikael Ainalem is just what...
72,Accordion Tab to Contact Form,https://codemyui.com/accordion-tab-to-contact-form/,"This is a really cool list that expands to show more info when you click on it, kinda like an accordion tab. If you click on the button that..."
73,Button-like Accordion Tab,https://codemyui.com/button-like-accordion-tab/,This according tab designed by Benjamin Koehler unveils each tab content with a slide in animation.
74,Gradient Underline for Link Hover,https://codemyui.com/gradient-underline-for-link-hover/,This is a pure CSS animated gradient underline that you can use on you website to highlight links.
75,Button to Email Subscription Field,https://codemyui.com/button-to-email-subscription-field/,"This button will expand into a email subscription field, it will be a great CTA on sites where you have limited space to work with.  It was designed by..."
76,Toggle Switch with a bit of Bounce,https://codemyui.com/toggle-switch-with-a-bit-of-bounce/,This is a simple toggle switch that has an slight bounce animation when you switch the toggle on/off. It was designed by Yariv Fruend.
77,Sticky Cookie Consent Top Bar,https://codemyui.com/sticky-cookie-consent-top-bar/,Here is a rather interesting take on the Cookie Consent form that is on most website because of GDPR. It was designed by Darin Senneff .
78,Email Runs into Signup Button Animation,https://codemyui.com/email-runs-into-signup-button-animation/,Here is a fun little email signup form using splitting.js design by Adam Kuhn. The email characters you type in literally grows legs and runs into the signup button!!
79,FAQ Content Style Accordion,https://codemyui.com/faq-content-style-accordion/,Need to showcase some FAQ content on your site? This accordion by Katherine Kato will be a perfect choice.
80,Various Color Neon Glow for Text in CSS,https://codemyui.com/various-color-neon-glow-for-text-in-css/,"Need to have that neon effect for some text on your site have no fear, Felix Rilling has a simple code snippet that can give you what you want...."
81,Falling Confetti,https://codemyui.com/falling-confetti/,Want to celebrate something on your web page? Then you will love this falling confetti script from kimmy which will look great in the hero section of your site.
82,Simple Accordion Tab,https://codemyui.com/simple-accordion-tab/,Here is a very simple accordion tab by Jay Pick.
83,CSS Only Vertical Image Slider with Thumbnails,https://codemyui.com/css-only-vertical-image-slider-with-thumbnails/,"In this CSS only snippet you have a vertical image slider with thumbnails on the right, you can click on an image thumbnail and jump to that image in..."
84,Article List Expand Content on Hover,https://codemyui.com/article-list-expand-content-on-hover/,Here is an interesting way to display a list of articles on a blog archive page. When you hover over an item it loads up the content of that...
85,Rotating Pizza Slice Preloader,https://codemyui.com/rotating-pizza-slice-preloader/,"In this SVG preloader, you have a slice of pizza that keeps spinning and it will look perfect on food-related websites. Designed using GSAP by Chris Gannon."
86,Rainbow Shadow Text Animation,https://codemyui.com/rainbow-shadow-text-animation/,A simple text animation where you have a rainbow shadow animation for the text content. If you want a certain block of text to be noticed by everyone who...
87,Click and Drag Counter,https://codemyui.com/click-and-drag-counter/,This is a fancy counter designed by Oleg Frolov on dribbble and coded in anime.js by Valery Alikin. You can click on the number and drag it up /...
88,Thread Projection Text Effect,https://codemyui.com/thread-projection-text-effect/,In this text effect by Johan Karlsson you can see the text projects thread like tentacles from it and it reacts to moving particles in the animation.
89,Hover For Font Weight Change,https://codemyui.com/hover-for-font-weight-change/,This snippet of code allows users to hover over a certain bit of text in a block of text content and that will change the font weight of that...
90,Progress Bars with Patterns,https://codemyui.com/progress-bars-with-patterns/,This particular snippet by Luca Gesmundo has got various SVG patterns to fill the progress bar which looks really cool. This will look great on modern colourful websites. If you need to get...
91,Fullscreen Overlay Navigation Menu,https://codemyui.com/fullscreen-overlay-navigation-menu/,Use this fullscreen overlay hamburger navigation menu in your next web project. Designed by Ryan Mulligan.
92,CSS Only Diamond Shaped Badge,https://codemyui.com/css-only-diamond-shaped-badge/,"Here is another badge snippet this one has the shape of a diamond and is in pure CSS.  This was designed by LittleSnippets. Like the other ones, it can work really..."
93,CSS Masonry Grid for Image Gallery,https://codemyui.com/css-masonry-grid-for-image-gallery/,"When you want a simple masonry grid for your image gallery this is going to be your go-to snippet. Designed by  Joseph Shambrook, this is a pure CSS snippet. "
94,Split in Half Text Animation,https://codemyui.com/split-in-half-text-animation/,"With this spectacular text animation, we can see the text split in half when you hover over it. The demo shows you the text being used as a navigation..."
95,SVG GDPR Badges,https://codemyui.com/svg-gdpr-badges/,An easy to use widget when you want to show GDPR related badges on your site. It was designed by Kingjohnny.
96,Circular Badge With Ribbon,https://codemyui.com/circular-badge-with-ribbon/,"With this creative little badge snippet in pure CSS, you can add a bunch of CTA items to your website, it can work really well on service pages or..."
97,Notification UI with New and Old Messages,https://codemyui.com/notification-ui-with-new-and-old-messages/,A simple notification concept UI with a CTA pulsating indicator showing the number of new unread notification. When you click on it you get a tooltip like drop-down with...
98,Colorful Swoosh Text Animation,https://codemyui.com/colorful-swoosh-text-animation/,"Here is a colourful text animation by  Robin Treur. The text is broken into 3 parts, each with a different colour and they are all slanted a little bit..."
99,Black and White to Color Hover Logos Effect for Client Showcase,https://codemyui.com/black-and-white-to-color-hover-logos-effect-for-client-showcase/,"With this snippet, you can showcase a list of logos in a grid format for your clients in your portfolio section. The logos are displayed in greyscale and on..."
100,Client Testimonial Widget in Material Design,https://codemyui.com/client-testimonial-widget-in-material-design/,"This client testimonial section can work well on a modern website that is influenced by material design, while the corners are rounded unlike traditional material design this can still..."
101,Light Sweep Effect on Button Hover,https://codemyui.com/light-sweep-effect-on-button-hover/,"With this fancy button, you will have your visitors attention. Designed by  Mariusz Dabrowski this CTA button has a nice circular background and some random objects circling over it..."
102,Cloud Text Effect,https://codemyui.com/cloud-text-effect/,Here is a really fluffy text effect that tries to mimic the clouds by Dali. It’s created using SVG and CSS. 
103,Angled Button With Glint Effect on Hover,https://codemyui.com/angled-button-with-glint-effect-on-hover/,Check out this angled button with a really cool glint effect on hover. It was designed by Tim Rijkse. 
104,uber.design style hamburger menu to split screen navigation,https://codemyui.com/uber-design-style-hamburger-menu-to-split-screen-navigation/,"A cool navigation menu similar one to the one on as seen on uber.design, this deconstruction was done by creme. When you click on the hamburger menu a split screen..."
105,Split Button to Social Icons on Hover,https://codemyui.com/split-button-to-social-icons-on-hover/,"This interesting button design comes from Mariusz Dabrowski, when you hover over the plus icon it splits the button into 4 squares, each one with a social icon. IT was..."
106,Upload Button to Progress Indicator Micro Interaction,https://codemyui.com/upload-button-to-progress-indicator-micro-interaction/,With this upload button designed by  Aaron Iker you get a progress bar indicating the download progress when you click on it. It’s a nice little micro-interaction that you can...
107,Masonry Layout Card UI for Blogs,https://codemyui.com/masonry-layout-card-ui-for-blogs/,This is a grid layout snippet you can use in the blog archive section of a website where you want to place card UI blocks of content in optimal position...
108,Change a single letter and form a new word,https://codemyui.com/change-a-single-letter-and-form-a-new-word/,"In this cool text animation by Lisi Linhart, is great when you want to change one single letter from a word to change the word completely eg: Live/Love, Live/Life, etc...."
109,TheOutline squiggle link hover effect,https://codemyui.com/theoutline-squiggle-link-hover-effect/,If you love the squiggle link hover effect as seen on the TheOutline then this epic CSS only snippet by Geoff Graham is just what you need. When you hover over the link...
110,Stacked Card with Progress Bar Animation,https://codemyui.com/stacked-card-with-progress-bar-animation/,Checkout the stacked card UI snippet that will allow you to show a multi step process with a progress bar. It was designed by Brandon Ward. The steps are each...
111,Gradient Buttons With Glint on Hover,https://codemyui.com/gradient-buttons-with-glint-on-hover/,Check out this colourful collection of buttons with gradient styling and a glint effect on hover. These pure CSS buttons were designed by Muhammed Erdem.
112,Button into Modal Form Animation,https://codemyui.com/button-into-modal-form-animation/,If you want to show a circular button that morphs into a user submission form then this snippet by Greg Hovanesyan is just what you need.
113,Horizontal Parallax Circular Icons,https://codemyui.com/horizontal-parallax-circular-icons/,"You all will love these wonderful circular icons with a subtle horizontal parallax scroll to it when you hover over them, these were designed by Jamie Coulter"
114,Retro Yes No Popup Dialog Box,https://codemyui.com/retro-yes-no-popup-dialog-box/,Here is a really cool retro dialog box popup designed by rémi and coded by Thibaud Goiffon. It’s got a very simple look with a colourful scrolling background and...
115,Strobe Light Effect for Text,https://codemyui.com/strobe-light-effect-for-text/,Here is an in your face text effect that mimics the strobe light effect in pure CSS. This glitch effect for text was designed by Jorinde.
116,Gradient Card UI Image Info Slider,https://codemyui.com/gradient-card-ui-image-info-slider/,Have a look at this elegant responsive card UI section that you can add to your blog or service website to highlight a series of posts or services. This...
117,Cute Puppy Login Form Design,https://codemyui.com/cute-puppy-login-form-design/,"Remember the owl and the yeti, now we have a puppy that will try and bring a smile to your face when you try and login to a website...."
118,Responsive Service Grid with 3 Columns,https://codemyui.com/responsive-service-grid-with-3-columns/,"Here is an elegant service section grid that you can use on your business website, it consists of a 3 column layout where you can showcase 3 services with..."
119,Hover Effects for Quotes and Text,https://codemyui.com/hover-effects-for-quotes-and-text/,"Here are 4 cool hover effects you can add to a text block, these will work well for quotes and other similar text blocks. It was designed by Lisi..."
120,Pure CSS Text Shake Animation,https://codemyui.com/pure-css-text-shake-animation/,"In this text effect snippet by Dronca Raul you have a gradient text color for the text and it has a shake effect simiar to a glitch, the effects..."
121,Attention Grabbing CTA Button Animation,https://codemyui.com/attention-grabbing-cta-button-animation/,"This pure CSS CTA microinteraction for a button was designed by Daniel Gonzalez. You have 2 small circles hovering the text and when you move the move over it,..."
122,Material Design Drop Down Navigation Menu,https://codemyui.com/material-design-drop-down-navigation-menu/,Have a look at this material design inspired navigation menu with drop-down elements. This card UI inspired pure CSS snippet was designed by Connor Brassington.
123,Long Shadow Progress Text Animation,https://codemyui.com/long-shadow-progress-text-animation/,"Here is a cool retro looking text effect by Daniel Gonzalez, the long shadow has a progress bar like effect and the text gets a different colour at the..."
124,CSS Only Simple Drop Down Navigation Menu,https://codemyui.com/css-only-simple-drop-down-navigation-menu/,"Here is a very simple but elegant navigation menu with a drop down, it can work with any website and is a pure CSS snippet."
125,Sticky Sidebar Navigation on Scroll,https://codemyui.com/sticky-sidebar-navigation-on-scroll/,With this amazing snippet by Chris Coyier you have a sticky sidebar with jump links to the various sections on the page. When you scroll down the page and...
126,CSS only Mobile Friendly Table Layout,https://codemyui.com/css-only-mobile-friendly-table-layout/,This responsive CSS only table design was designed by Flor Antara. We have a table with a header and on smaller devices like mobile phones the header is switched...
127,Confetti Flying Out of Text,https://codemyui.com/confetti-flying-out-of-text/,A fancy text effect by Rachel Smith where you have confetti flying out of the text.
128,Awake to Sleeping Totoro Toggle,https://codemyui.com/awake-to-sleeping-totoro-toggle/,Here is a movie inspired pure CSS toggle switch designed by Adam Kuhn. The Totoro will switch from an awake to a sleeping state on click. Totoro was a...
129,Ice Cube to Flame Toggle Switch,https://codemyui.com/ice-cube-to-flame-toggle-switch/,Here is a CSS only toggle switch design for a checkbox where you have the option to switch between an ice cube and a flame it can work well...
130,Button to a List Animation,https://codemyui.com/button-to-a-list-animation/,"This is a fancy list that appears as a button and on click, it transforms into a list and on a second click, the list is hidden again. It..."
131,Add & Delete Bouncy List Microinteraction,https://codemyui.com/add-delete-bouncy-list-microinteraction/,With this beautiful code snippet by Chè Nxusani you have a very cool add and delete bouncy micro-interaction for the unordered list item. It can work well for a...
132,A list with venetian blinds rolling down animation,https://codemyui.com/a-list-with-venetian-blinds-rolling-down-animation/,With this jquery rolling down micro interaction you have list items that falls down one by one kinda simulating the dropping of venetian blinds or a curtain. It was...
133,Play Icon to Video Animation on Click,https://codemyui.com/play-icon-to-video-animation-on-click/,"I love this subtle micro-interaction using GSAP where you hover over the play icon to show a little animation and on click, the play icon transforms into a youtube..."
134,Multi Layered Button Hover Effect in Pure CSS,https://codemyui.com/multi-layered-button-hover-effect-in-pure-css/,With this pure CSS script by Raul Dronca you can add a fancy button to your website that has a cool layered effect on hover.
135,CSS Only CRT Inspired Glitchy Effect for Text,https://codemyui.com/css-only-crt-inspired-glitchy-effect-for-text/,Here is a text effect that is purely in CSS designed by Zed Dash. This glitch effect for text was inspired by the CRT screens.
136,CSS Only Responsive Timeline Snippet,https://codemyui.com/css-only-responsive-timeline-snippet/,This CSS only snippet by Bruno Rodrigues is great when you want to have a timeline on your site and the best part is that this is mobile friendly....
137,Change Background Gradient on Scrolling,https://codemyui.com/change-background-gradient-on-scrolling/,This is a stunning effect when you want to animate you background with gradients that changes on scroll. This CSS only snippet was designed by Mike.
138,CSS Only Responsive Navigation Menu,https://codemyui.com/css-only-responsive-navigation-menu/,"If you need a simple responsive CSS only navigation menu you will love this one by Mayur Suthar. On mobile, the menu turns into a hamburger menu and on..."
139,Footer Reveal Animation with jQuery,https://codemyui.com/footer-reveal-animation-with-jquery/,"With this jQuery script, you can add a footer to your site that reveals the content with a delayed fade-in effect. Designed by Mitchel van Eijgen."
140,Hover Color Fill Link Animations,https://codemyui.com/hover-color-fill-link-animations/,"You will love these lovely link hover effects by Agustin Sevilla, there are 2 effects one with a little bounce effect when you hover over the link which will..."
141,3D Uppercase Text With Shadow,https://codemyui.com/3d-uppercase-text-with-shadow/,A nice little text animation that features an awesome 3D text effect designed by Mandy Michael.
142,Button Border and Text Color Fill On Hover,https://codemyui.com/button-border-and-text-color-fill-on-hover/,"With this CSS only snippet designed by Giana has a cool button animation when you hover over it, the colour of the text and border changes from the bottom..."
143,Pure CSS Cartoon Style Angled Button,https://codemyui.com/pure-css-cartoon-style-angled-button/,"Here is an epic cartoon style button for websites designed by Imran Pardes, it has got an amazing hover effect too."
144,Lightsaber Progress Bar,https://codemyui.com/lightsaber-progress-bar/,How cool would it be to have a Star Wars movie inspired lightsaber as the progress bar on your next website? Thanks to this snippet by Andy Pagès you...
145,Hamburger Menu Icon to MENU Transformation on Hover,https://codemyui.com/hamburger-menu-icon-to-menu-transformation-on-hover/,"With this CSS only snippet designed by IlyasR, when you hover over the hamburger menu icon Ξ it changes to the word MΞNU."
