,title,link,pub,rating,comments
0,浪潮之巅,https://book.douban.com/subject/6709783/,吴军 / 电子工业出版社 / 2011-8 / 55.00元,9.0,25945
1,从0到1,https://book.douban.com/subject/26297606/,彼得·蒂尔、布莱克·马斯特斯 / 高玉芳 / 中信出版股份有限公司 / 2015-1-1 / CNY 45.00,7.5,24199
2,黑客与画家,https://book.douban.com/subject/6021440/,[美] Paul Graham / 阮一峰 / 人民邮电出版社 / 2011-4 / 49.00元,8.7,18307
3,大数据时代,https://book.douban.com/subject/20429677/,[英] 维克托•迈尔•舍恩伯格（Viktor Mayer-Schönberger） / 周涛 / 浙江人民出版社 / 2012-12 / 49.90元,7.5,16383
4,写给大家看的设计书（第3版）,https://book.douban.com/subject/3323633/,[美] Robin Williams / 苏金国、刘亮 / 人民邮电出版社 / 2009-1 / 49.00元,8.6,11596
5,数学之美,https://book.douban.com/subject/10750155/,吴军 / 人民邮电出版社 / 2012-5-1 / 45.00元,8.7,10598
6,人人都是产品经理,https://book.douban.com/subject/4723970/,苏杰 / 电子工业出版社 / 2010年4月 / 45.00元,7.6,8262
7,创业维艰,https://book.douban.com/subject/26306686/,本·霍洛维茨 Ben Horowitz / 杨晓红、钟莉婷 / 中信出版社 / 2015-2 / 49,8.3,7820
8,重来,https://book.douban.com/subject/5320866/,[美] 贾森·弗里德、[丹] 戴维·海涅迈尔·汉森 / 李瑜偲 / 中信出版社 / 2010-10 / 36.00元,8.3,7086
9,启示录,https://book.douban.com/subject/5914587/,[美] Marty Cagan / 七印部落 / 华中科技大学出版社 / 2011-5 / 36.00元,8.5,6668
10,哥德尔、艾舍尔、巴赫,https://book.douban.com/subject/1291204/,[美] 侯世达 / 严勇、刘皓明、莫大伟 / 商务印书馆 / 1997-5 / 88.00元,9.4,6303
11,智能时代,https://book.douban.com/subject/26838557/,吴军 / 中信出版集团 / 2016-8 / 68.00,8.4,5901
12,简约至上,https://book.douban.com/subject/5394309/,[英] Giles Colborne / 李松峰、秦绪文 / 人民邮电出版社 / 2011-1-1 / 35.00,8.4,5738
13,算法导论（原书第2版）,https://book.douban.com/subject/1885170/,[美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein / 潘金贵 等 / 机械工业出版社 / 2006-9 / 85.00元,9.3,4975
14,游戏改变世界,https://book.douban.com/subject/10828002/,[美] 简•麦戈尼格尔（Jane McGonigal） / 闾佳 / 浙江人民出版社 / 2012-9 / 59.90元,7.9,4741
15,C程序设计语言,https://book.douban.com/subject/1139336/,（美）Brian W. Kernighan、（美）Dennis M. Ritchie / 徐宝文、李志译、尤晋元审校 / 机械工业出版社 / 2004-1 / 30.00元,9.4,4507
16,文明之光（第一册）,https://book.douban.com/subject/25902942/,吴军 / 人民邮电出版社 / 2014-6-25 / 59.00元,9.0,4342
17,C++ Primer 中文版（第 4 版）,https://book.douban.com/subject/1767741/,Stanley B.Lippman、Josée LaJoie、Barbara E.Moo / 李师贤、蒋爱军、梅晓勇、林瑛 / 人民邮电出版社 / 2006 / 99.00元,9.2,4292
18,代码大全（第2版）,https://book.douban.com/subject/1477390/,[美] 史蒂夫·迈克康奈尔 / 金戈、汤凌、陈硕、张菲 译、裘宗燕 审校 / 电子工业出版社 / 2006-3 / 128.00元,9.3,3838
19,Java编程思想 （第4版）,https://book.douban.com/subject/2130190/,[美] Bruce Eckel / 陈昊鹏 / 机械工业出版社 / 2007-6 / 108.00元,9.1,3778
20,数学之美 （第二版）,https://book.douban.com/subject/26163454/,吴军 / 人民邮电出版社 / 2014-11 / 49.00元,8.9,3624
21,结网,https://book.douban.com/subject/4736118/,王坚 / 人民邮电出版社 / 2010-4 / 55.00元,7.9,3449
22,人月神话,https://book.douban.com/subject/1102259/,[美] 弗雷德里克·布鲁克斯 / 汪颖 / 清华大学出版社 / 2002-11 / 29.80元,8.4,3241
23,编码,https://book.douban.com/subject/4822685/,[美] Charles Petzold / 左飞、薛佟佟 / 电子工业出版社 / 2010 / 55.00元,9.2,3205
24,编程之美,https://book.douban.com/subject/3004255/,《编程之美》小组 编 / 电子工业出版社 / 2008-3 / 40.00元,8.4,3173
25,浪潮之巅（第2版）（套装上下册）,https://book.douban.com/subject/24738302/,吴军 / 人民邮电出版社 / 2013-7 / 80.00元,9.2,3111
26,Head First 设计模式（中文版）,https://book.douban.com/subject/2243615/,弗里曼 / O'Reilly Taiwan公司 / 中国电力出版社 / 2007-9 / 98.00元,9.2,3076
27,用户体验要素,https://book.douban.com/subject/6523997/,Jesse James Garrett / 范晓燕 / 机械工业出版社 / 2011-7-1 / 39.00元,8.3,3051
28,鸟哥的Linux私房菜,https://book.douban.com/subject/4889838/,鸟哥 / 人民邮电出版社 / 2010-6-28 / 88.00元,9.1,3015
29,Python编程,https://book.douban.com/subject/26829016/,[美] 埃里克·马瑟斯 / 袁国忠 / 人民邮电出版社 / 2016-7-1 / 89.00元,9.1,2944
30,设计模式,https://book.douban.com/subject/1052241/,[美] Erich Gamma、Richard Helm、Ralph Johnson、John Vlissides / 李英军、马晓星、蔡敏、刘建中 等 / 机械工业出版社 / 2000-9 / 35.00元,9.0,2891
31,深入理解计算机系统,https://book.douban.com/subject/1230413/,Randal E.Bryant、David O'Hallaron / 龚奕利、雷迎春 / 中国电力出版社 / 2004-5-1 / 85.00元,9.5,2749
32,深入理解计算机系统（原书第2版）,https://book.douban.com/subject/5333562/,（美）Randal E.Bryant、David O'Hallaron / 龚奕利、雷迎春 / 机械工业出版社 / 2011-1-1 / 99.00元,9.7,2502
33,信息简史,https://book.douban.com/subject/25752043/,[美] 詹姆斯·格雷克 / 高博 / 人民邮电出版社 / 2013-10 / 69.00元,8.7,2466
34,机器学习,https://book.douban.com/subject/26708119/,周志华 / 清华大学出版社 / 2016-1-1 / 88.00元,8.6,2463
35,图解HTTP,https://book.douban.com/subject/25863515/,【日】上野宣 / 于均良 / 人民邮电出版社 / 2014-4-15 / 49.00元,8.1,2429
36,沸腾十五年,https://book.douban.com/subject/3816827/,林军 / 中信出版社 / 2009-7 / 59.00,8.2,2370
37,程序员的自我修养,https://book.douban.com/subject/3652388/,俞甲子、石凡、潘爱民 / 电子工业出版社 / 2009-4 / 65.00,8.8,2355
38,计算机程序的构造和解释,https://book.douban.com/subject/1148282/,Harold Abelson、Gerald Jay Sussman、Julie Sussman / 裘宗燕 / 机械工业出版社 / 2004-2 / 45.00元,9.5,2338
39,JavaScript高级程序设计（第3版）,https://book.douban.com/subject/10546125/,[美] Nicholas C. Zakas / 李松峰、曹力 / 人民邮电出版社 / 2012-3-29 / 99.00元,9.3,2333
40,软件随想录,https://book.douban.com/subject/4163938/,Joel Spolsky / 阮一峰 / 人民邮电出版社 / 2009 / 49.00元,8.7,2313
41,淘宝技术这十年,https://book.douban.com/subject/24335672/,子柳 / 电子工业出版社 / 2013-5 / 45.00元,7.3,2298
42,程序员修炼之道,https://book.douban.com/subject/1152111/,Andrew Hunt、David Thomas / 马维达 / 电子工业出版社 / 2005-1 / 48.00元,8.6,2287
43,UNIX环境高级编程,https://book.douban.com/subject/1788421/,W.Richard Stevens、Stephen A.Rago / 尤晋元、张亚英、戚正伟 / 人民邮电出版社 / 2006年 / 99.00元,9.4,2269
44,科技想要什么,https://book.douban.com/subject/6965746/,[美] 凯文·凯利 / 熊祥 / 中信出版社 / 2011-11 / 58.00元,8.2,2228
45,系统之美,https://book.douban.com/subject/11528220/,[美] 德内拉•梅多斯 / 邱昭良 / 浙江人民出版社 / 2012-8 / 56.90元,8.3,2171
46,复杂,https://book.douban.com/subject/6749832/,梅拉妮·米歇尔 / 唐璐 / 湖南科学技术出版社 / 2011-8-1 / 38.00元,9.0,2160
47,人工智能,https://book.douban.com/subject/27015112/,李开复、王咏刚 / 文化发展出版社 / 2017-5-10 / CNY 55.00,7.3,2156
48,UNIX编程艺术,https://book.douban.com/subject/1467587/,Eric S. Raymond / 姜宏、何源、蔡晓俊 / 电子工业出版社 / 2006-2 / 59.00元,9.0,2123
49,TCP/IP详解 卷1：协议,https://book.douban.com/subject/1088054/,W.Richard Stevens / 范建华 / 机械工业出版社 / 2000-4-1 / 45.00元,9.2,2100
50,统计学习方法,https://book.douban.com/subject/10590856/,李航 / 清华大学出版社 / 2012-3 / 38.00元,9.0,2095
51,编程珠玑,https://book.douban.com/subject/3227098/,Jon Bentley / 黄倩、钱丽艳 / 人民邮电出版社 / 2008-10 / 39.00元,9.1,2073
52,重构,https://book.douban.com/subject/1229923/,Martin Fowler / 熊节 / 中国电力出版社 / 2003-8-1 / 68.00元,9.0,2069
53,硅谷之谜,https://book.douban.com/subject/26665230/,吴军 / 人民邮电出版社 / 2015-12-1 / 59.00,8.4,2048
54,大话设计模式,https://book.douban.com/subject/2334288/,程杰 / 清华大学出版社 / 2007-12-1 / 45.00元,8.3,1976
55,C专家编程,https://book.douban.com/subject/2377310/,Peter Van Der Linden / 徐波 / 人民邮电出版社 / 2008-2 / 45.00元,9.2,1953
56,我是一只IT小小鸟,https://book.douban.com/subject/4006425/,胡江堂、李成、唐雅薇、秦琴、蒋宇东、刘未鹏、居振梁、刘帅、温卫斌、张弦、张凯峰、庄表伟、宋劲杉、程露、黄小明、易晓东、简朝阳、林健、高昂、徐宥、辜新星 / 电子工业出版社 / 2009-9 / 29.80元,7.8,1920
57,数据结构与算法分析,https://book.douban.com/subject/1139426/,维斯 / 冯舜玺 / 机械工业出版社 / 2004-1-1 / 35.00元,8.9,1906
58,疯狂的程序员,https://book.douban.com/subject/3267945/,绝影 / 人民邮电出版社 / 2008 / 35.00元,7.8,1878
59,程序员的思维修炼,https://book.douban.com/subject/5372651/,Andy Hunt / 崔康 / 人民邮电出版社 / 2010-12-10 / 39.00元,8.4,1867
60,JavaScript语言精粹,https://book.douban.com/subject/3590768/,Douglas Crockford / 赵泽欣、鄢学鹍 / 电子工业出版社 / 2009-4 / 35.00元,9.1,1845
61,重构,https://book.douban.com/subject/4262627/,Martin Fowler / 熊节 / 人民邮电出版社 / 2010 / 69.00元,9.0,1845
62,C Primer Plus,https://book.douban.com/subject/1240002/,Stephen Prata、云巅工作室 / 云巅工作室 / 人民邮电出版社 / 2005-2-1 / 60.00元,9.1,1842
63,推荐系统实践,https://book.douban.com/subject/10769749/,项亮 / 人民邮电出版社 / 2012-6-1 / 49.00元,8.1,1816
64,思考的乐趣,https://book.douban.com/subject/10779597/,顾森 / 人民邮电出版社 / 2012-6 / 45.00元,8.2,1793
65,Python基础教程（第2版）,https://book.douban.com/subject/4866934/,Magnus Lie Hetland / 司维、曾军崴、谭颖华 / 人民邮电出版社 / 2010-7 / 69.00元,8.0,1785
66,深入浅出数据分析,https://book.douban.com/subject/5257905/,Michael Milton / 李芳 / 电子工业出版社 / 2009 / 88.00元,7.5,1769
67,C++ Primer 中文版（第 5 版）,https://book.douban.com/subject/25708312/,[美] Stanley B. Lippman、[美] Josée Lajoie、[美] Barbara E. Moo / 王刚、杨巨峰 / 电子工业出版社 / 2013-9-1 / CNY 128.00,9.4,1704
68,你早该这么玩Excel,https://book.douban.com/subject/6712457/,伍昊 / 北京大学出版社 / 2011-7-15 / 39.80元,8.2,1704
69,算法图解,https://book.douban.com/subject/26979890/,[美] Aditya Bhargava / 袁国忠 / 人民邮电出版社 / 2017-3 / 49.00元,8.4,1701
