,title,url,date,intro
0,复仇者联盟3：无限战争 / Avengers: Infinity War,https://movie.douban.com/subject/24773958/,2018-04-23,2018-04-23(加州首映) / 2018-04-27(美国) / 2018-05-11(中国大陆) / 小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 克里斯·埃文斯 / 马克·鲁弗洛 / 乔什·布洛林 / 佐伊·索尔达娜 / 本尼迪克特·康伯巴奇 / 克里斯·帕拉特 / 汤姆·赫兰德 / 伊丽莎白·奥尔森 / 保罗·贝坦尼 / 斯嘉丽·约翰逊 / 查德维克·博斯曼 / 塞巴斯蒂安·斯坦 / 唐·钱德尔 / 汤姆·希德勒斯顿 / 安东尼·麦凯 / 本尼迪克特·王 / 戴夫·巴蒂斯塔 / 布莱德利·库珀 / 范·迪塞尔 / 凯伦·吉兰 / 利蒂希娅·赖特 / 庞·克莱门捷夫 / 凯莉·库恩 / 汤姆-沃恩-劳勒 / 海登·瓦尔希 / 迈克尔·詹姆斯·肖 / 泰瑞·诺塔里 / 本尼西奥·德尔·托罗 / 彼特·丁拉基 / 罗斯·马昆德 / 丹娜·奎里拉 / 温斯顿·杜克 / 弗洛伦丝·卡松巴 / 塞缪尔·杰克逊 / 雅各布·巴特朗 / 斯坦·李 / 格温妮斯·帕特洛 / 寇碧·史莫德斯 / 伊德里斯·艾尔巴 / 威廉·赫特 / 凯瑞·康顿 / 肖恩·古恩 / 莫妮卡·甘德顿 / 罗伯特·普拉尔戈 / 蒂凡尼·埃斯佩森 / 哈里森·奥斯特菲尔德 / 阿丽亚娜·格林布拉特 / 阿隆·拉扎尔 / 伊莎贝拉·阿玛拉 / 罗伯特·廷斯利 / 露西·卡罗尔 / 克里斯蒂娜·韦布林 / 马塔维乌斯·盖尔斯 / 美国 / marvel.com/avengers / 安东尼·罗素 / 乔·罗素 / 149分钟 / 复仇者联盟3：无限战争 / 动作 / 科幻 / 奇幻 / 冒险 / 杰克·科比 Jack Kirby / 克里斯托弗·马库斯 Christopher Markus / 斯蒂芬·麦克菲利 Stephen McFeely / 吉姆·斯特林 Jim Starlin / 英语
1,西虹市首富,https://movie.douban.com/subject/27605698/,2018-07-27,2018-07-27(中国大陆) / 沈腾 / 宋芸桦 / 张一鸣 / 张晨光 / 常远 / 魏翔 / 赵自强 / 九孔 / 李立群 / 王成思 / 徐冬冬 / 艾伦 / 杨皓宇 / 黄才伦 / 王力宏 / 包贝尔 / 郎咸平 / 张绍刚 / 杨文哲 / 陶亮 / 王赞 / 黄杨 / 刘鉴 / 杨沅翰 / 林炳宝 / 骆佳 / 陈昊明 / 臧一人 / 贾舒涵 / 迈克尔·J·吉拉普 / 蓝波儿 / 柴陆 / 中国大陆 / 闫非 / 彭大魔 / 118分钟 / 喜剧 / 闫非 Fei Yan / 彭大魔 Damo Peng / 林炳宝 Bingbao Lin / 汉语普通话
2,无名之辈,https://movie.douban.com/subject/27110296/,2018-11-16,2018-11-16(中国大陆) / 陈建斌 / 任素汐 / 潘斌龙 / 章宇 / 王砚辉 / 九孔 / 马吟吟 / 程怡 / 宁桓宇 / 邓恩熙 / 谢波 / 范翔 / 赵梓冲 / 史策 / 马睿瀚 / 林海 / 邓钢 / 尧十三 / 国义骞 / 周铨 / 中国大陆 / 饶晓志 / 108分钟 / 剧情 / 喜剧 / 饶晓志 Xiaozhi Rao / 雷志龙 Zhilong Lei / 汉语普通话 / 贵州话
3,无双 / 無雙,https://movie.douban.com/subject/26425063/,2018-09-30,2018-09-30(中国大陆) / 2018-10-04(中国香港) / 周润发 / 郭富城 / 张静初 / 冯文娟 / 廖启智 / 周家怡 / 王耀庆 / 方中信 / 高捷 / 邢佳栋 / 张松枝 / 张建声 / 吴嘉龙 / 孙佳君 / 林嘉华 / 梁健平 / 钟溥敏 / 安吉·阿维斯塔 / 中国大陆 / 中国香港 / 庄文强 / 130分钟 / 无双 / 剧情 / 动作 / 犯罪 / 悬疑 / 庄文强 Felix Chong / 汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语
4,红海行动,https://movie.douban.com/subject/26861685/,2018-02-16,2018-02-16(中国大陆) / 张译 / 黄景瑜 / 海清 / 杜江 / 蒋璐霞 / 尹昉 / 王强 / 郭家豪 / 王雨甜 / 麦亨利 / 张涵予 / 王彦霖 / 蔡洁 / 任达华 / 李响 / 霍思燕 / 黄芬芬 / 于大伟 / 中国大陆 / 中国香港 / 林超贤 / 138分钟 / 动作 / 战争 / 冯骥 Ji Feng / 陈珠珠 Zhuzhu Chen / 林明杰 Eric Lin / 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语
5,头号玩家 / Ready Player One,https://movie.douban.com/subject/4920389/,2018-03-11,2018-03-11(西南偏南电影节) / 2018-03-29(美国) / 2018-03-30(中国大陆) / 泰伊·谢里丹 / 奥利维亚·库克 / 本·门德尔森 / 马克·里朗斯 / 丽娜·维特 / 森崎温 / 赵家正 / 西蒙·佩吉 / T·J·米勒 / 汉娜·乔恩-卡门 / 拉尔夫·伊内森 / 苏珊·林奇 / 克莱尔·希金斯 / 劳伦斯·斯佩尔曼 / 佩蒂塔·维克斯 / 艾萨克·安德鲁斯 / 图尔洛夫·科维里 / 内特·莫汗 / 露露·威尔逊 / 罗娜·莫里森 / 基特·康纳 / 杰登·福拉-奈特 / 麦肯娜·格瑞丝 / 丹尼尔·祖尔格哈德利 / 阿隆索·阿尔瓦雷斯 / 迈克尔·怀德曼 / 罗伯特·吉尔贝托 / 阿玛尼·杰克森 / 朱莉娅·尼克森 / 利蒂希娅·赖特 / 埃里克·西格蒙德森 / 雅各布·贝特兰德 / 美国 / 史蒂文·斯皮尔伯格 / 140分钟 / 头号玩家 / 动作 / 科幻 / 冒险 / 扎克·佩恩 Zak Penn / 恩斯特·克莱恩 Ernest Cline / 英语 / 日语 / 汉语普通话
6,昆池岩 / 곤지암,https://movie.douban.com/subject/26945085/,2018-03-28,2018-03-28(韩国) / 魏化儁 / 朴智炫 / 吴雅妍 / 文艺媛 / 朴成焄 / 刘帝允 / 李承旭 / 韩国 / 郑凡植 / 94分钟 / 昆池岩 / 恐怖 / 郑凡植 Baum-sik Jeong / 韩语
7,釜山行 / 부산행,https://movie.douban.com/subject/25986180/,2016-05-13,2016-05-13(戛纳电影节) / 2016-07-20(韩国) / 孔侑 / 郑有美 / 马东锡 / 金秀安 / 金义城 / 崔宇植 / 安昭熙 / 崔奎华 / 郑锡勇 / 艺秀晶 / 朴明申 / 张赫镇 / 禹都临 / 沈恩京 / 白仁权 / 南延佑 / 郑煐禥 / 李珠实 / 柳在勋 / 车清华 / 金在祿 / 金周宪 / 金旻錫 / 金永 / Han Sung-soo / 董允锡 / 延尚昊 / 郑西仁 / 金锦顺 / 金根英 / 韩国 / 延尚昊 / 118分钟 / 釜山行 / 动作 / 惊悚 / 灾难 / 延尚昊 Sang-ho Yeon / 韩语
8,阿凡达 / Avatar,https://movie.douban.com/subject/1652587/,2009-12-18,2009-12-18(美国) / 2010-01-04(中国大陆) / 萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗 / 史蒂芬·朗 / 米歇尔·罗德里格兹 / 吉奥瓦尼·瑞比西 / 乔·大卫·摩尔  / 希·庞德 / 韦斯·斯塔迪 / 拉兹·阿隆索 / 迪利普·劳 / 马特·杰拉德 / 肖恩·安东尼·莫兰 / 彼得·狄龙 / 詹姆斯·皮特 / 凯利·基尔戈 / 杰森·怀特 / 季冠霖 / 肖恩·帕特里克·墨菲 / 凯尔森·亨德森 / 大卫·范·霍恩 / 詹姆斯·霍纳 / 陆建艺 / 黛布拉·威尔逊 / 彼得·门萨 / 泰瑞·诺塔里 / 斯科特·劳伦斯 / 凯文·多曼 / 雅克布·托毛里 / 伍迪·舒尔茨 / 美国 / 英国 / www.avatarmovie.com / 詹姆斯·卡梅隆 / 162分钟 / 178分钟(加长版) / 阿凡达 / 动作 / 科幻 / 冒险 / 詹姆斯·卡梅隆 James Cameron / 英语 / 西班牙语
9,大侦探皮卡丘 / Pokémon Detective Pikachu,https://movie.douban.com/subject/26835471/,2019-05-10,2019-05-10(美国) / 2019-05-10(中国大陆) / 瑞恩·雷诺兹 / 贾斯蒂斯·史密斯 / 凯瑟琳·纽顿 / 克里斯·吉尔 / 比尔·奈伊 / 渡边谦 / 瑞塔·奥拉 / 苏琪·沃特豪斯 / 卡兰·索尼 / 普莉安卡·伯福德 / 乔丹·朗 / 贝恩·科拉科 / 卡迪夫·克尔万 / 奥马尔·查帕罗 / 伯纳多·桑托斯 / 大谷育江 / 露丝·霍洛克斯 / 丹尼尔·厄根 / 贾格·帕特尔 / 查利·蕾娅·埃斯奎尔 / 黛博拉·洛克 / 所罗门·塔伊沃·贾斯提费尔德 / 尼克·欧文福特 / 凯文·马塔迪恩 / 迪柏洛 / 竹内凉真 / 雷佳音 / 美国 / 日本 / 英国 / 加拿大 / www.detectivepikachumovie.net / 罗伯·莱特曼 / 104分钟 / 大侦探皮卡丘 / 喜剧 / 动画 / 奇幻 / 冒险 / 丹·埃尔南德斯 Dan Hernandez / 罗伯·莱特曼 Rob Letterman / 德里克·康纳利 Derek Connolly / 尼科尔·帕尔曼 Nicole Perlman / 英语
