,title,author,source,vote
0,【干货】让你薪资翻10倍的网站  大学生与职场人请收藏 ,小强先森,https://www.jianshu.com/p/21b92c8b008d,15536
1,可以免费自学编程的12个网站,Aylee姓Liu,https://www.jianshu.com/p/9f094ce31075,10804
2,"知道这20个正则表达式，能让你少写1,000行代码",技匠,https://www.jianshu.com/p/e7bb97218946,10032
3,面试你之前，我希望在简历上看到这些！,MR_LIXP,https://www.jianshu.com/p/84b0dd277f13,7094
4,1小时掌握20%的Excel核心技巧，轻松应对80%的工作需求,北大小笨,https://www.jianshu.com/p/00d9bc2514d0,5544
5,史上最全的前端资源大汇总,MR_LIXP,https://www.jianshu.com/p/6cb49271cd2a,4355
6,Android开发人员不得不收集的代码(持续更新中),Blankj,https://www.jianshu.com/p/72494773aace,4067
7,入门Webpack，看这篇就够了,zhangwang,https://www.jianshu.com/p/42e11515c10f,3826
8,Markdown——入门指南,Te_Lee,https://www.jianshu.com/p/1e402922ee32,3794
9,8个程序员专用软件/网站，个个是神器，第一个最惊喜......,实验楼,https://www.jianshu.com/p/dfb11c59f0fa,3786
10,推荐一些非常有用的学习网站,stormzhang,https://www.jianshu.com/p/cd5ba3d74b54,2932
11,推荐12个免费学编程的好网站。,实验楼,https://www.jianshu.com/p/2a9abfe7dfb4,2788
12,5分钟 搭建免费个人博客,dimsky,https://www.jianshu.com/p/4eaddcbe4d12,2566
13,不会装系统？有这篇就够了！,字芽,https://www.jianshu.com/p/a33d0e202fc1,2561
14,我们为什么工作？,彭小六,https://www.jianshu.com/p/d2ddaccc5ac4,2305
15,关于iOS多线程，你看我就够了,伯恩的遗产,https://www.jianshu.com/p/0b0d9b1f1f19,2255
16,献给大学生，未来程序猿的前端学习网站,慕凌峰,https://www.jianshu.com/p/165e92e128ec,2212
17,Github上 10 个开源免费且优秀的后台控制面板,SevDot,https://www.jianshu.com/p/3bc7404af887,2180
18,佛系程序员的月薪五万指南,阿里云云栖号,https://www.jianshu.com/p/19878aab9f1f,2100
19,一篇文章，教你学会Git,苏州韭菜明,https://www.jianshu.com/p/9685a56bdf7a,2099
20,给初学者的RxJava2.0教程(一),Season_zlc,https://www.jianshu.com/p/464fa025229e,1999
21,"一名全栈设计师的Mac工具箱（设计,开发,效率）",技匠,https://www.jianshu.com/p/c271c1b05308,1987
22,我的 Android 开发实战经验总结,D_clock爱吃葱花,https://www.jianshu.com/p/4f152bc8f4f3,1916
23,你不一定知道但一定用得到的Windows使用技巧,字芽,https://www.jianshu.com/p/1658c399d122,1882
24,"iOS,面试必看，最全梳理",Jack_lin,https://www.jianshu.com/p/5d2163640e26,1882
25,不知道自己适合做什么，怎么办？,彭小六,https://www.jianshu.com/p/be17f1e5a709,1870
26,前端基础进阶系列,这波能反杀,https://www.jianshu.com/p/cd3fee40ef59,1863
27,【如何快速的开发一个完整的iOS直播app】(原理篇),袁峥,https://www.jianshu.com/p/bd42bacbe4cc,1796
28,程序猿和他的暴躁女朋友,石左,https://www.jianshu.com/p/9e5915afe3ea,1747
29,OC最实用的runtime总结，面试、工作你看我就足够了！,我是滕先生,https://www.jianshu.com/p/ab966e8a82e2,1736
30,各种排序算法总结,AlvinL,https://www.jianshu.com/p/f5baf7f27a7e,1725
31,30分钟精通思维导图,快妈慢画,https://www.jianshu.com/p/c77d46d14466,1709
32,程序员接私活完整攻略,天哥在奔跑,https://www.jianshu.com/p/8c9f94994ca3,1648
33,18岁程序员的自学之路,麟书,https://www.jianshu.com/p/eefa380436fc,1636
34,在Java路上，我看过的一些书、源码和框架（持续更新）,占小狼,https://www.jianshu.com/p/4a41ee88bd82,1631
35,一个优秀的Android应用从建项目开始,Jude95,https://www.jianshu.com/p/d9e4ddd1c530,1630
36,BRVAH官方使用指南（持续更新）,陈宇明,https://www.jianshu.com/p/b343fcff51b0,1630
37,Mac上有哪些冷门但却逆天的软件？,大梦Power,https://www.jianshu.com/p/2d1410da5d06,1621
38,2018年最佳深度学习书单,阿里云云栖号,https://www.jianshu.com/p/18dc97e0a48d,1617
39,iOS即时通讯，从入门到“放弃”？,涂耀辉,https://www.jianshu.com/p/2dbb360886a8,1591
40,Android 屏幕适配：最全面的解决方案,Carson_Ho,https://www.jianshu.com/p/ec5a1a30694b,1591
41,《利用Python进行数据分析·第2版》第1章 准备工作,SeanCheney,https://www.jianshu.com/p/04d180d90a3f,1572
42,Android事件分发机制详解：史上最全面、最易懂,Carson_Ho,https://www.jianshu.com/p/38015afcdb58,1570
43,图解 Android 事件分发机制,Kelin,https://www.jianshu.com/p/e99b5e8bd67b,1513
44,老司机推荐！四个国内优秀的编程学习网站,IT程序狮,https://www.jianshu.com/p/635a3a1b6c3f,1499
45,iOS开发完全自学资源集合,技匠,https://www.jianshu.com/p/d70041eb25d7,1471
46,小问题 | 读了跟没读一样是怎么回事？,彭小六,https://www.jianshu.com/p/e51b176f139a,1441
