,name,category,note,author,url,downloads,votes,comments
0,多功能图片处理,效率,【求赞】多图拼接，制作动图，添加水印，转图片格式，多图合成pdf，调整图片大小，旋转，涂鸦...,大先生,https://www.icloud.com/shortcuts/9eb5ee8751ac4f0f9033cb4510775797,32074,400,123
1,人生进度条,生活,我的人生已经过去 38.1% 了！,Alen,https://www.icloud.com/shortcuts/3675d43510fe420db2fd6a6aa40fb4f3,32685,262,49
2,临时手机号,生活,临时手机号，用于注册不常用的网站和APP。保护我们的隐私,黑悟空,https://www.icloud.com/shortcuts/20523646629844d4a33583ff7571810e,25935,216,63
3,「早安｜晚安」,生活,无须解锁，可运行早上好捷径 [农历时间]、「天气」、[网易云音乐]，比抖音版本更好用.,小悟空,https://www.icloud.com/shortcuts/0086eeedfb4a41648037b78db26bac7a,50147,188,463
4,TestFlight应用测试申请,工具,目前收录了275个iOS应用的测试版申请,DC,https://www.icloud.com/shortcuts/f2cd62a438b941ee84dd6ffb79d3cac4,54891,175,60
5,网盘搜,效率,搜索网盘资源～更换了新的搜索引擎～快来试试吧,Veritas,https://www.icloud.com/shortcuts/feb916abb943481caa6a61335c2b224b,32460,174,60
6,小霸王游戏机,娱乐,小霸王，其乐无穷。愿我们找回属于童年的快乐,黑悟空,https://www.icloud.com/shortcuts/fead26c56c4a4915b93b7fa99debfae4,30745,171,60
7,百度网盘自由下,工具,通过 Pandownload 网页版一键高速下载百度盘资源。自动读取剪贴板中的地址和提取码。,乐魂,https://www.icloud.com/shortcuts/31bb8d72df8640fd95ee5edd5f16d1ba,19446,167,92
8,查找优惠劵（极简纯净版）,效率,"【求赞】淘宝购物时，一键自动帮你找优惠劵。
不是淘口令，是直达，直达哦！",大先生,https://www.icloud.com/shortcuts/8cfba8c694c74f1d8c7a06d350d20fc1,25595,160,47
9,Pornhub图标生成器,工具,老司机都懂，帮你快速生成那啥图片。,空一格,https://www.icloud.com/shortcuts/550b87f6d8fc4b27b3a31fab341ade55,14485,146,21
10,全能视频音乐图片下载,娱乐,微博秒拍、YouTube、Tumblr、Twitter、Instagram等等音乐、视频、图片下载,一丁,https://www.icloud.com/shortcuts/135cf02f17a8469d83759bdd37053e1a,31914,141,38
11,快捷指令导航,工具,目前较好用的快捷指令导航，持续不断发现最新快捷指令,小悟空,https://www.icloud.com/shortcuts/1da18e97014045a69bfb3242d82f697b,33129,139,35
12,举牌小人图片生成器,娱乐,可以生成举牌小人文字的捷径。素材来自 upupyou。本地生成。,不郑,https://www.icloud.com/shortcuts/be4058c960d34170aad67e46d19cc8cb,10480,122,37
13,旧版本APP从下载到安装,工具,旧版本APP下载安装一条龙,黑悟空,https://www.icloud.com/shortcuts/7666a67099fd4b7289055ce6eea4f8e4,10100,120,22
14,手机电视,娱乐,#iOS12 捷径# 分享一个看电视直播的捷径，电视台数还挺多的，有卫视，央视的，我分享的第1个捷径,快乐的猪猪包,https://www.icloud.com/shortcuts/2df7707026a1435dace368a628751e2e,27251,119,31
15,淘宝照妖镜（查历史最低价）,效率,【求赞】618预售又要开始了，快用本照妖镜去查查，查出历史最低价，识破假打折！,大先生,https://www.icloud.com/shortcuts/2c2d9e9dfec8482fb9f6008e8d66376a,23507,117,41
16,恋爱话术-10w+聊天话术拯救尬聊！,社交,输入或复制对方聊天内容，即可获取对应返回聊天话术，10w+聊天内容，让你不再尬聊😍ི。,道长@ASO黑科技,https://www.icloud.com/shortcuts/3808073630e647fa95c027aa770e9a67,29145,112,51
17,绝版应用,工具,目前收录了40个绝版应用的在线安装,DC,https://www.icloud.com/shortcuts/f2610a5fe3154b658d2597e69a148980,22981,112,16
18,siri点歌,音乐,【求赞】告诉siri歌曲名，即可点歌。不是使用苹果自带的音乐哦，那个要收钱。用网易云音乐实现的。免费,大先生,https://www.icloud.com/shortcuts/1586e736391445dd83d6e70af695bdcf,15199,112,65
19,Card QR,效率,1.交换电话号码时，你只需叫他人扫码点击存储即可，无需手动输入 2.使用系统相机扫描二维码即可,Nicolas-kings,https://www.icloud.com/shortcuts/00a0aad26b4740748a1999fbdb9b8db7,11193,103,29
20,iOS 13 beta,工具,【描述文件已经更新🙏】获取iOS13 beta描述文件，以及查看已知bug！（已经适配新快捷指令）,Marin9090,https://www.icloud.com/shortcuts/8b3563d40b884cb3b477d37637b4d3ad,10001,101,44
21,证件照片水印,工具,给你的证件照片加上水印，本地处理图片，无任何网络请求，请放心使用。,不郑,https://www.icloud.com/shortcuts/ff2b3fdfedaa44c296127e25f2385dd4,13617,97,28
22,实时天气³ Lite,生活,「简」也是一种生活方式，只为您传达最少、最精准的天气信息【适配捷径社区官方更新机制】,Marin9090,https://www.icloud.com/shortcuts/3f51177cb1fd464981152e42ded88a99,12514,96,45
23,你自己不会百度吗,效率,拷贝或者输入对方提出的「沙雕问题」，一键生成百度搜索操作步骤图片。,空一格,https://www.icloud.com/shortcuts/4c7db9f5b5ae406b8144c4731ce6c98e,9311,95,32
24,提取音频,工具,不知道视频的BGM？直接提取就完了～,LiYanan2004,https://www.icloud.com/shortcuts/5bb1d8088315408e88db890806c13352,9743,93,30
25,shadowrocket:color,工具,小火箭自定义配色分享,昵称违规不予显示,https://www.icloud.com/shortcuts/6c838be9263541df8d705e73935261b4,6804,91,76
26,百度网盘资源快速下载,效率,快速下载百度网盘文件,小脆糖,https://www.icloud.com/shortcuts/9e4977bae945453da8417f186fdc16ea,9991,88,35
27,iOS系统增强工具,工具,提供多种iOS系统增强工具的描述文件安装,DC,https://www.icloud.com/shortcuts/ad5522c28c1940f2a79f58d415510ced,26992,88,41
28,App Store 地区切换,效率,一键切换 App Store 商店地区，无需更换 Apple ID。,ᴍʀ.ᴢʜᴀᴏ,https://www.icloud.com/shortcuts/015c63d4358142389f1c723b7475406d,18062,88,11
29,免费书吧,阅读,数十万本电子书在线阅读和下载，全程无广告无充值，享受清爽的阅读体验。,Kim,https://www.icloud.com/shortcuts/b74b38dcb85740caae2a3e5583a6833d,11456,86,60
30,万能命令——你的全能生活工具,工具,一款强大的解析捷径，很多实用功能,꧁IT Man꧂,https://www.icloud.com/shortcuts/859fc2f5aac94a08bbcb79670635d627,9414,86,32
31,【早上好☀️】QQ音乐&网易云音乐通用版,生活,因为看不下去网上流传的劣质【早上好】捷径，我决定重制此捷径,Ye Han,https://www.icloud.com/shortcuts/8918adea0a2c40709ce991adf4b3ab50,18155,84,140
32,化学物质MSDS查询,效率,通过输入化学物质名称或者CAS号码查询其MSDS（化学品技术安全说明）信息,mappo,https://www.icloud.com/shortcuts/c43cb70db26145b6af0e73c3c83e1c31,3866,83,31
33,照片去背景,效率,快速抠图，去除照片背景只保留人物,Kim,https://www.icloud.com/shortcuts/09b0ebc65f544b479d93c8507ce7cbc9,9059,82,32
34,捷径市场,工具,整合全网捷径资源，全网搜索捷径,Kim,https://www.icloud.com/shortcuts/ba4687cb331c49d9a2168c62105bfc68,26508,81,6
35,搜索骑士Pro～搜索你的快乐,工具,搜索骑士，搜索你的快乐！100+个搜索引擎，给你无限搜索方式！,枫叶1003,https://www.icloud.com/shortcuts/398dc9dfda0445508f596aff58e54b2a,11731,78,15
36,PDF 工具集,工具,PDF 和其他格式互转，PDF 压缩,61,https://www.icloud.com/shortcuts/f4006285447d44a8b205b27099f4a20b,8214,77,15
37,朋友圈图片评论,社交,解决朋友圈不能图片评论！ 直接到朋友圈评论区域粘贴即可！,Bucket,https://www.icloud.com/shortcuts/75044e0d747f4560b266bc7263a0b1b8,17348,76,120
38,Dictionature,工具,远离广告满天飞的那些词典。无需网络的外语学习者福音！,Antcuts 蚂蚁捷径,https://www.icloud.com/shortcuts/7c4db1b8d3a64d91974df668d071bc6b,7264,75,19
