id,city_name,content,nick_name,score
0,广州,超好看，不剧透哈哈,🐷,5.0
1,金湖,很棒只能用两个字形容,夏日唾饮,5.0
2,南京,***都给我去看,NpK645826290,5.0
3,邯郸,为童年画上一个圆。奇异博士已经看穿一切。,CAFE的味道,5.0
4,石家庄,十年漫威，十年青春，绝对值得一看,_qqh5k1345259302,5.0
5,海口,很好看 不解释 漫威忠实粉,,5.0
6,瑞金,精彩，很好的3.0结局,西瓜草莓菠萝芒果,5.0
7,涪陵,我就是钢铁侠,WXc608467203,5.0
8,宁波,没有任何语言来评价！满分,jiang724,5.0
9,益阳,完美，非常完美,👾,5.0
10,巴彦淖尔,再见，托尼·史塔克,突然就懵比,5.0
11,深圳,这么多人合伙欺负灭霸，还被杀了两次，他太孤独了😂,你也可以嚣张,5.0
12,阳泉,超级好看，无论是过程还是结局都出乎漫威迷的预料！,TEM972043684,5.0
13,南京,不多说 绝了,kawayisaina,5.0
14,武汉,再见了各位大佬,带我看世界,5.0
15,杭州,我哭了，再见我的青春,PGE6458,5.0
16,天津,英雄不朽 ！,PgS952639293,5.0
17,永康,好看 想哭哭,明年今日了草,5.0
18,成都,巨好看！！二刷！！,Yiling 왕,5.0
19,上海,黑寡妇钢铁侠凉了。难受,LuWEiDi1,5.0
20,巴中,"实在是太好看！！！
作为漫威铁迷就不剧透了！！！
但是结局都没有猜对！！！！",森情难却,5.0
21,乌鲁木齐,泪目，完美收官，陪伴了我的青春，十年复联。,嗯哼恩亨,5.0
22,南宁,太好看了，九队，妇联闺蜜团，瓦坎达万岁,nWw298305533,5.0
23,永济,集合！复仇者！,小将梅西,5.0
24,南京,"没什么评价
我们下一次再见",新新新浩浩浩,5.0
25,邹城,唉，我不想剧透，你们慢慢看吧,堃,5.0
26,北京,完美到没话说。,宇宙无敌小申申,5.0
27,江门,有比10分更高的分吗？,托柒,5.0
28,泰州,唯一差评就是漫威请不起唐尼了,叫我Ryan啦、,5.0
29,石家庄,非常非常！！！！！！！！,小小女生影,5.0
30,成都,我就想问下有彩蛋没,醉笑三萬場,5.0
31,长春,准备二刷，，，,猫见丿,5.0
32,泸州,"奇异博士出现了么
",ww,5.0
33,淮南,激动的心，颤抖的手，我们一起看复仇者联盟4终局之战，全局无尿点。,CGG817224624,5.0
34,成都,这是你我他的一个梦想吧！,钓鱼岛上的119,5.0
35,松原,有没有剧透的,总有刁民想害朕,5.0
36,洛阳,美队是最后一次出演么？流泪😭,vlm511123102,5.0
37,北京,非常好看，，，，，，,人和人刚认识最好,5.0
38,广州,估计过了等下凌晨三点左右过后就各种剧透了吧，坐等你们的表演～show times😌😌😌,浮夸承,5.0
39,长沙,还没看但是必须好评,qzuser,5.0
40,肇庆,上一年和女朋友去看复仇者联盟3今年一定要带她看复联4😏 ,维他命C.,5.0
41,徐州,希望那些看首映的人能看见这条评论然后告诉我有几个彩蛋，千万别剧透,hcu733454988,5.0
42,江门,喔期待  啦啦啦啦,　Tyler,5.0
43,三亚,这钱好赚了，票房估计历史最高了,Vi,0.5
44,重庆,票买贵了！！！,本色从容,2.5
45,驻马店,满分！！！！！！,花生同学ii,5.0
46,深圳,前一个钟无聊到爆 中间一个钟讲故事 后边半个钟精彩打斗 最后半个钟讲故事 失望,夜梦游sunny,1.5
47,淮安,很失望没意思,碧波粼粼,3.0
48,郑州,不剧透了，完美，最后一战,fBk341238036,5.0
49,齐齐哈尔,简直是太让我想哭了,Bad169206768,4.5
50,汉阴,吹爆好吧！！！！！,Tsm727022032,5.0
51,广州,得连刷一波iMax圆梦,Lgj805452232,5.0
52,武汉,无敌！无敌无敌！,DWb169738984,5.0
53,顺德,没什么好说的。,小学生oh,5.0
54,广州,两位血肉之躯，堪比神明,铭聪🇨🇳,5.0
55,合肥,几次的全场鼓掌，已经说明了真的真的对得起期待。一个英雄时代的落幕！,lindakk,5.0
56,泸州,很好看！毕竟作为一个漫威迷，总结篇还是给个1”分，以后估计不会再有了。,浩哥帅过陈奕迅,5.0
57,如东,史诗巨作。。,dQj413041704,5.0
58,西安,系列最无聊的一部,刘Awesome,3.0
59,广汉,我的世界再也没有钢铁侠,安好,5.0
60,温州,好看无尿点。,偸杺厷孖,4.5
61,杭州,钢铁侠死了     复联3化为灰烬的人回来了,じょう あ なん jyouanan,5.0
62,绵阳,真么高分一部分因为情感一部分因为爆燃的场面，无法用言语形容了！,zx1262794590,5.0
63,邵阳,真的以你开始也以你结束。谢幕了。,那又怎样我又不是皮卡丘,5.0
64,杭州,惊喜，精彩，惊艳绝伦，只能说一句**，喜感太多了。,宋song丶,5.0
65,成都,非常震撼 很感人！,Kim,5.0
66,汕头,垃圾。复仇者回忆录,家沐,0.5
67,长沙,难过 最爱的妮妮丢下女儿走了,seven丷520,5.0
68,杭州,妇联的兄弟们出来的那一刻我哭了。期待漫威宇宙第二阶段的到来！,XIAOJI丶,5.0
69,大庆,属实狠强了这波,,5.0
70,南昌,amazing！,zengninini,5.0
71,诸暨,惊奇队长有点失望，没发挥大作用，钢铁侠以后没有了吗,水晶鱼964,4.0
72,郑州,我的钢铁侠😭 ,黎白南,4.5
73,广州,赞赞赞，很燃很炸,琦总,5.0
74,贵港,希望还有下一部,陈志泰,5.0
75,济南,**，好看是好看，还我***,The Martians,5.0
76,石家庄,亿万分之一的胜利！,海贼王v路飞,5.0
77,广州,哎哟妈呀  上厕所先,T、K,5.0
78,深圳,灭霸不是最终boss,GdG594309482,5.0
79,从化,真的看哭了，哇,Cap,5.0
80,南京,别等了，回去吧，没有彩蛋的,吴兵869,5.0
81,咸阳,接受不了钢铁侠死了、黑寡妇死了,TgM499302932,3.5
82,广州,respect钢铁侠 ,d,5.0
83,厦门,剧情全是凑的！建议便宜了去看,vipZhoulei1314,0.5
84,南昌,死人了，有点伤感，,霸头,5.0
85,霸州,剧情超级精彩,孤独的根号三13931606106津芳,5.0
86,郑州,完美只是可以 钢铁侠美队寡姐看不到了,中二君2151,5.0
87,泰安,漫威迷首映超赚,Enb104537279,4.5
88,佛山,死的真壮烈。,马达,5.0
89,东营,完美  挺好看,唯一、懂你的我,5.0
90,长沙,完美的作品！,zrr986945456,5.0
91,温州,妇联4全场最佳，打响手指的钢铁侠（美队：我锤子耍的 溜！）,京武先生,5.0
92,仁寿,期待的太高，但总得来说还是可以 ，正常9分,Smart皓,4.5
93,运城,中影圣谛影城的巨幕厅音响效果很棒，感觉是运城目前最好的巨幕厅，体验感自我感觉最好，前台服务周到，最主要离家很近，今天就是来看灭霸的，嘿嘿😁,wnc485028495,5.0
94,淮安,真的太燃了。,剪不断烟花1,5.0
95,九江,以复联为结尾，再见，我的青春！,沈灀,5.0
96,临沂,可以不错值得一看,GachineGun丶一九四二,5.0
97,重庆,I'm iron man  i love u three thousands times,我想说在座的各位都是垃圾,5.0
98,深州市,非常的好看，非常的震撼！满分,奶罩甩甩灬,5.0
99,武汉,超级好看 还结合了前面几部的剧情！,甜520sweet,5.0
100,南宁,好看看得不得了,符苡茗笙,4.5
101,福州,一生无悔入漫威 期待下一个十年 3小时真不够看！！！！,PNG845089474,5.0
102,顺德,IN THE END,Holiko,4.5
103,涟源市,垃圾电影，拍的什么玩意儿啊！,街角买单,0.5
104,泉州,两个美队打起来了,孫,5.0
105,东莞,接受不了最爱的美队老了😭😭😭,kobe0924,5.0
106,即墨,情怀，真心不错,小宝,5.0
107,新蔡,还没看🤐🤐🤐🤐🤐,具大的尹朵斗俊,5.0
108,泰州,听到锤哥说的那句话，“我就知道”当时心里那个激情澎湃啊，太精彩了，,Udi199396010,5.0
109,高州,有点乱，没有惊喜。,袁燕锋,1.5
110,杭州,太好看了！绝了！,老吴,5.0
111,郑州,怎么可以这样,wap幻,5.0
112,淮北,very good,蔡子圣,5.0
113,德州,结局还算挺好，整体满意,Jya166431102,5.0
114,中山,期望太高，未完场走了。差点睡觉了？,冷莫神君,2.5
115,南昌,炸了炸了炸了,X,5.0
116,合肥,"复联四好看是挺好看的
就是一个人看就感觉😂 
⊙∀⊙！就不太好---哦豁",迷,5.0
117,黄石,再见钢铁侠，美国队长,MCm725268707,5.0
118,广州,钢铁侠最后牺牲了。,沙漠的西瓜1,5.0
119,高安,灭霸死了啊难受死了,何、很怪i,5.0
120,济南,牛逼啊啊啊啊,S生生世世,5.0
121,绍兴,好看的好看的,谢奇好棒,5.0
122,广州, 没有遗憾才是最大的遗憾,然,3.5
123,桂林,不错不错不错,安逸卡塞,5.0
124,厦门,电影院真好睡,E&M 时尚女装环环,0.5
125,廊坊,如果去掉一些无聊的jump scare和搞笑桥段，把电影时长压缩到两个半小时左右节奏会更优秀。,Wilhelmkidd,4.0
126,益阳,"不好看。都看了2个小时一点意思都没有直接回家了

",장미,3.0
127,太原,我是灭霸，再有几个小时我就死了，现在心里慌的一批。,djc851775614,0.0
128,涪陵,非常好呀！！！,一路伴你,5.0
129,台山,好看好看好看,Hime_TanNai,5.0
130,定州,美国队长死了新的纪元开始了钢铁侠退役了,ivg270940117,5.0
