,author,reply,source,title
0,commoccoom,167,https://www.v2ex.com/t/528903#reply167,"请教一个问题，生成 10 个随机数 [0,100] 且最终 10 个随机数之和为 100 ， 用 Python 如何实现"
1,old18,114,https://www.v2ex.com/t/546305#reply114,"各位大佬, 自己独立开发一个网站,前端该咋搞"
2,chinesehuazhou,103,https://www.v2ex.com/t/557286#reply103,len(x) 击败 x.len()，从内置函数看 Python 的设计思想（内有公号宣传，不喜勿进）
3,darrow,95,https://www.v2ex.com/t/514891#reply95,学编程语言和学英语哪个优先级更高
4,chinesehuazhou,73,https://www.v2ex.com/t/550164#reply73,别开心太早， Python 官方文档的翻译差远了
5,frogex,70,https://www.v2ex.com/t/527879#reply70,淘宝反爬求解
6,Ewig,66,https://www.v2ex.com/t/520588#reply66,微信临时连接转永久连接
7,crazyjin,63,https://www.v2ex.com/t/545144#reply63,Django vs Flask vs Tornado
8,cf472436288,53,https://www.v2ex.com/t/529170#reply53,都说裁员多，为什么没有看到 Python ？
9,YuuuZeee,53,https://www.v2ex.com/t/494477#reply53,为啥感觉用 Celery 的大公司比较少
10,taoing,53,https://www.v2ex.com/t/530869#reply53,"半年前学 Python 时用 django 开发的仿知乎网站, 各位大佬给点意见, 请轻喷"
11,YaYamilk,50,https://www.v2ex.com/t/548314#reply50,Python 萌新，求一个大佬
12,yuanrenxue,50,https://www.v2ex.com/t/513926#reply50,聊点俗的， Python 爬虫挣钱的道道
13,greatchenny,49,https://www.v2ex.com/t/515652#reply49,求 Python 师傅，有偿，杭州本地
14,akmonde,48,https://www.v2ex.com/t/559926#reply48,Python 项目移植到其他机器，要求全 Linux 系统适配
15,heart4lor,46,https://www.v2ex.com/t/511741#reply46,请教 Python 用什么框架写 API 比较好
16,ntuwang,46,https://www.v2ex.com/t/540713#reply46,运维开发需要掌握前端框架吗？
17,anonymoustian,41,https://www.v2ex.com/t/552701#reply41,Python 如何提取非结构化数据
18,mon3,41,https://www.v2ex.com/t/521184#reply41,爬虫， mysql 唯一索引 重复数据 ID 会自增。请问怎么解决？
19,zhangxinxin,39,https://www.v2ex.com/t/561773#reply39,公司让爬企查查一千万条数据
20,yuanrenxue,38,https://www.v2ex.com/t/515406#reply38,又来个爬虫小偏方:修改 referer 绕开访问控制
21,king1101,35,https://www.v2ex.com/t/510623#reply35,上下文（context）应该怎么理解，有人说是环境，但总觉得有点模糊
22,caibou,34,https://www.v2ex.com/t/488406#reply34,有人做过模拟淘宝登录吗？
23,Marsss,34,https://www.v2ex.com/t/545783#reply34,是时候和 py2 说再见了。。。
24,darkTianTian,34,https://www.v2ex.com/t/545291#reply34,约不到面试，只好潜心钻研算法。
25,lvhuiqi,33,https://www.v2ex.com/t/519570#reply33,想专攻 Python 面向对象方面的，有什么好的推荐
26,jarry118,32,https://www.v2ex.com/t/522125#reply32,正则表达式匹配数值类型字符串
27,snoopy1024,31,https://www.v2ex.com/t/509000#reply31,用 Python 处理这种验证码有没好的点子？
28,ve369587,30,https://www.v2ex.com/t/509652#reply30,通过 ip 访问阿里云搭建 web 网页，提示：无法访问此网站（ Python +django）
