id,forks,repo_name,repo_url,stars,task,watchers
0,18880,vuejs/vue,https://github.com/vuejs/vue,132530,vue,132530
1,16301,robbyrussell/oh-my-zsh,https://github.com/robbyrussell/oh-my-zsh,85298,zsh,85298
2,13209,nodejs/node,https://github.com/nodejs/node,59393,node,59393
3,6281,flutter/flutter,https://github.com/flutter/flutter,57782,flutter,57782
4,7531,golang/go,https://github.com/golang/go,55097,go,55097
5,15553,laravel/laravel,https://github.com/laravel/laravel,51000,laravel,51000
6,15553,laravel/laravel,https://github.com/laravel/laravel,51000,php-artisan,51000
7,8424,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,48512,youtube-dl,48512
8,11327,atom/atom,https://github.com/atom/atom,48210,at,48210
9,11327,atom/atom,https://github.com/atom/atom,48210,atom,48210
10,6014,webpack/webpack,https://github.com/webpack/webpack,47843,webpack,47843
11,7457,apple/swift,https://github.com/apple/swift,47092,swift,47092
12,13103,hakimel/reveal.js,https://github.com/hakimel/reveal.js,45340,rev,45340
13,7322,expressjs/express,https://github.com/expressjs/express,43004,expr,43004
14,17153,rails/rails,https://github.com/rails/rails,42575,rails,42575
15,5044,meteor/meteor,https://github.com/meteor/meteor,40897,meteor,40897
16,12945,ionic-team/ionic,https://github.com/ionic-team/ionic,37464,ionic,37464
17,8105,jekyll/jekyll,https://github.com/jekyll/jekyll,37193,jekyll,37193
18,14836,ansible/ansible,https://github.com/ansible/ansible,36079,ansible,36079
19,23567,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,35635,boot,35635
20,7304,ReactTraining/react-router,https://github.com/ReactTraining/react-router,35475,route,35475
21,2106,yarnpkg/yarn,https://github.com/yarnpkg/yarn,35182,yarn,35182
22,3811,gohugoio/hugo,https://github.com/gohugoio/hugo,33723,hugo,33723
23,3185,creationix/nvm,https://github.com/creationix/nvm,33611,nvm,33611
24,4560,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,33063,gatsby,33063
25,5704,NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,32946,true,32946
26,3407,babel/babel,https://github.com/babel/babel,32469,babel,32469
27,1354,minimaxir/big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,32231,strings,32231
28,7583,scrapy/scrapy,https://github.com/scrapy/scrapy,32000,scrapy,32000
29,4414,gulpjs/gulp,https://github.com/gulpjs/gulp,31018,gulp,31018
30,3190,serverless/serverless,https://github.com/serverless/serverless,28942,serverless,28942
31,1938,Unitech/pm2,https://github.com/Unitech/pm2,28500,pm2,28500
32,15339,git/git,https://github.com/git/git,26683,git,26683
33,8677,bailicangdu/vue2-elm,https://github.com/bailicangdu/vue2-elm,25980,elm,25980
34,4916,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,25539,tesseract,25539
35,16914,apache/incubator-dubbo,https://github.com/apache/incubator-dubbo,25275,du,25275
36,1739,joshbuchea/HEAD,https://github.com/joshbuchea/HEAD,24964,head,24964
37,3354,facebook/jest,https://github.com/facebook/jest,24544,jest,24544
38,6678,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,23883,python,23883
39,4673,kenwheeler/slick,https://github.com/kenwheeler/slick,23571,last,23571
40,9102,python/cpython,https://github.com/python/cpython,23174,cp,23174
41,1607,tldr-pages/tldr,https://github.com/tldr-pages/tldr,21575,man,21575
42,1607,tldr-pages/tldr,https://github.com/tldr-pages/tldr,21575,tldr,21575
43,2168,containous/traefik,https://github.com/containous/traefik,21307,traefik,21307
44,3275,JuliaLang/julia,https://github.com/JuliaLang/julia,21274,julia,21274
45,4856,aosabook/500lines,https://github.com/aosabook/500lines,21225,less,21225
46,5355,SDWebImage/SDWebImage,https://github.com/SDWebImage/SDWebImage,21205,sd,21205
47,18383,apache/spark,https://github.com/apache/spark,21079,spark,21079
48,4112,godotengine/godot,https://github.com/godotengine/godot,20851,godot,20851
49,4141,emberjs/ember.js,https://github.com/emberjs/ember.js,20833,ember,20833
50,1564,standard/standard,https://github.com/standard/standard,20763,standard,20763
51,1123,postcss/postcss,https://github.com/postcss/postcss,20477,postcss,20477
52,780,junegunn/fzf,https://github.com/junegunn/fzf,20406,fzf,20406
53,1835,balderdashy/sails,https://github.com/balderdashy/sails,20344,sails,20344
54,6773,symfony/symfony,https://github.com/symfony/symfony,20225,symfony,20225
55,5422,composer/composer,https://github.com/composer/composer,18977,composer,18977
56,1823,webtorrent/webtorrent,https://github.com/webtorrent/webtorrent,18959,webtorrent,18959
